UB_T12_1	UB_T12_2	UB_T12_3	UB_T3_1	UB_T3_2	UB_T3_3	gene_id	gene
338	403	110	9	12	14	ENSG00000115009	CCL20
33	12	8	127	125	67	ENSG00000187068	C3orf70
34	11	2	0	2	1	ENSG00000144596	GRIP2
208	141	257	31	48	31	ENSG00000219607	PPP1R3G
9	2	0	58	42	5	ENSG00000073861	TBX21
31	28	19	1	8	6	ENSG00000008735	MAPK8IP2
593	288	316	126	28	64	ENSG00000008517	IL32
39	14	22	3	7	1	ENSG00000188290	HES4
55	101	83	11	17	9	ENSG00000170323	FABP4
271	266	102	41	63	44	ENSG00000139567	ACVRL1
306	82	26	23	10	13	ENSG00000165949	IFI27
20	24	21	1	5	7	ENSG00000163815	CLEC3B
99	70	50	996	497	245	ENSG00000162595	DIRAS3
14	25	11	6	2	0	ENSG00000079263	SP140
257	72	47	24	34	26	ENSG00000168062	BATF2
64	31	79	346	261	211	ENSG00000173894	CBX2
14	17	18	232	152	85	ENSG00000007968	E2F2
159	195	80	29	37	45	ENSG00000111907	TPD52L1
914	1031	180	74	184	194	ENSG00000137033	IL33
7	3	0	41	19	24	ENSG00000275591	XKR5
152	121	87	19	15	35	ENSG00000158406	HIST1H4H
21	22	11	4	3	3	ENSG00000185818	NAT8L
7	16	26	2	0	4	ENSG00000187094	CCK
15	19	7	0	0	1	ENSG00000250337	PURPL
10	10	17	1	0	1	ENSG00000280241	AC079298.3
72	87	93	487	335	266	ENSG00000189057	FAM111B
23	103	35	8	9	5	ENSG00000112183	RBM24
23	8	21	0	0	4	ENSG00000007908	SELE
11	18	24	3	0	1	ENSG00000170044	ZPLD1
45	35	6	156	214	183	ENSG00000099284	H2AFY2
16	9	20	0	1	3	ENSG00000161082	CELF5
35	9	10	1	0	5	ENSG00000182836	PLCXD3
259	331	512	1578	1777	1160	ENSG00000126787	DLGAP5
133	32	6	1011	736	728	ENSG00000176887	SOX11
47	66	9	161	272	281	ENSG00000156466	GDF6
6	14	23	3	2	2	ENSG00000206127	GOLGA8O
94	59	45	7	3	21	ENSG00000124212	PTGIS
6	1	8	14	30	22	ENSG00000284906	AC091057.5
149	340	74	6	5	25	ENSG00000125538	IL1B
97	212	28	20	35	11	ENSG00000074211	PPP2R2C
5	3	0	20	14	30	ENSG00000237989	LINC01679
13	7	55	1	5	1	ENSG00000134716	CYP2J2
2	7	3	22	20	14	ENSG00000196172	ZNF681
334	510	659	2303	2502	1825	ENSG00000112984	KIF20A
4	2	2	16	18	11	ENSG00000135299	ANKRD6
107	120	104	30	23	27	ENSG00000100100	PIK3IP1
12	18	96	0	5	4	ENSG00000129422	MTUS1
24	18	49	5	4	3	ENSG00000123364	HOXC13
1126	849	2750	401	121	274	ENSG00000179862	CITED4
23	109	24	0	1	0	ENSG00000125845	BMP2
4	0	0	26	8	10	ENSG00000165633	VSTM4
11	42	4	0	2	1	ENSG00000110675	ELMOD1
86	144	24	8	4	10	ENSG00000072952	MRVI1
41	18	34	234	260	157	ENSG00000214357	NEURL1B
28	20	20	136	82	77	ENSG00000129173	E2F8
43	10	13	124	218	303	ENSG00000114115	RBP1
10	76	109	7	13	21	ENSG00000180660	MAB21L1
129	165	169	61	30	22	ENSG00000003249	DBNDD1
2	1	2	4	27	18	ENSG00000049540	ELN
18	21	20	2	3	0	ENSG00000147697	GSDMC
262	263	107	47	47	55	ENSG00000184678	HIST2H2BE
25	101	7	1	8	13	ENSG00000211448	DIO2
628	793	1967	106	100	122	ENSG00000138675	FGF5
27	65	113	14	19	10	ENSG00000134769	DTNA
84	169	15	19	25	15	ENSG00000110042	DTX4
96	96	12	4	5	3	ENSG00000163347	CLDN1
149	173	88	16	18	14	ENSG00000180596	HIST1H2BC
570	687	196	77	101	55	ENSG00000123610	TNFAIP6
17	7	17	0	0	0	ENSG00000135373	EHF
17	5	73	0	3	0	ENSG00000152208	GRID2
9	9	23	1	0	1	ENSG00000060140	STYK1
26	19	18	5	3	1	ENSG00000279267	AL078621.3
29	21	8	0	2	0	ENSG00000173432	SAA1
28	58	73	2	10	6	ENSG00000226835	AC097059.1
3	0	0	60	30	14	ENSG00000066735	KIF26A
85	112	382	6	42	2	ENSG00000185985	SLITRK2
45	76	31	11	10	10	ENSG00000160161	CILP2
2956	1836	1629	609	522	424	ENSG00000166165	CKB
23	22	9	0	1	0	ENSG00000179826	MRGPRX3
721	227	107	100	82	53	ENSG00000138642	HERC6
67	104	16	14	12	3	ENSG00000160191	PDE9A
24	14	8	1	2	3	ENSG00000058404	CAMK2B
112	330	341	29	54	81	ENSG00000060718	COL11A1
69	48	6	2	2	0	ENSG00000163898	LIPH
17	15	37	2	6	4	ENSG00000132185	FCRLA
37	60	120	14	9	19	ENSG00000059915	PSD
4245	4143	1780	943	815	783	ENSG00000112096	SOD2
56	213	244	30	41	29	ENSG00000134245	WNT2B
48	29	19	0	0	4	ENSG00000152402	GUCY1A2
103	83	40	4	6	0	ENSG00000137393	RNF144B
31	25	12	0	0	0	ENSG00000125726	CD70
40	14	14	2	4	4	ENSG00000134548	SPX
10	18	47	2	1	1	ENSG00000164796	CSMD3
18	66	63	10	16	8	ENSG00000267774	AC010776.2
6	7	6	26	30	47	ENSG00000170500	LONRF2
8	9	1	51	34	24	ENSG00000197977	ELOVL2
1524	2017	576	320	270	435	ENSG00000130707	ASS1
11	8	17	2	2	2	ENSG00000152463	OLAH
11	67	36	0	2	0	ENSG00000162631	NTNG1
37	46	40	9	7	6	ENSG00000160460	SPTBN4
5	2	6	29	20	9	ENSG00000215417	MIR17HG
475	712	878	3044	3378	2100	ENSG00000113368	LMNB1
24	15	1	0	0	0	ENSG00000231574	LINC02015
3	0	2	13	23	11	ENSG00000144152	FBLN7
2	6	5	17	48	22	ENSG00000054356	PTPRN
51	17	658	17	3	11	ENSG00000146197	SCUBE3
17	21	18	6	1	4	ENSG00000237476	LINC01637
14	5	18	1	2	1	ENSG00000188158	NHS
95	83	74	22	19	13	ENSG00000162772	ATF3
66	134	278	11	9	3	ENSG00000155816	FMN2
42	30	21	1	9	0	ENSG00000136014	USP44
193	330	30	25	24	34	ENSG00000101210	EEF1A2
145	138	413	28	45	15	ENSG00000188487	INSC
521	308	323	58	8	24	ENSG00000023445	BIRC3
960	432	791	139	64	241	ENSG00000148677	ANKRD1
27	13	10	40	46	210	ENSG00000196562	SULF2
19	19	44	2	9	0	ENSG00000177990	DPY19L2
23	8	25	1	2	5	ENSG00000250697	AC010343.3
146	206	237	1262	1192	801	ENSG00000129195	PIMREG
11	5	2	21	39	42	ENSG00000203727	SAMD5
98	119	155	814	802	463	ENSG00000186193	SAPCD2
0	1	12	26	32	20	ENSG00000198901	PRC1
1	3	2	26	14	19	ENSG00000261762	AC027228.2
289	983	2313	195	189	108	ENSG00000163735	CXCL5
23	31	52	8	6	10	ENSG00000185519	FAM131C
22	24	109	7	3	15	ENSG00000152779	SLC16A12
9	1	4	26	14	43	ENSG00000173898	SPTBN2
31	5	15	78	46	202	ENSG00000144057	ST6GAL2
75	35	11	1	0	1	ENSG00000162654	GBP4
144	105	21	467	660	337	ENSG00000169594	BNC1
180	165	58	510	642	775	ENSG00000149294	NCAM1
20	15	16	0	1	5	ENSG00000159871	LYPD5
31	76	5	3	0	5	ENSG00000173391	OLR1
29	30	34	5	2	6	ENSG00000247134	AC090204.1
49	93	96	1	16	9	ENSG00000162415	ZSWIM5
561	198	569	800	2288	2288	ENSG00000187955	COL14A1
70	36	48	6	8	19	ENSG00000127585	FBXL16
306	159	51	34	25	18	ENSG00000110446	SLC15A3
86	130	25	21	21	14	ENSG00000081041	CXCL2
16	9	9	1	2	2	ENSG00000167680	SEMA6B
2	9	10	13	20	77	ENSG00000120594	PLXDC2
24	51	33	164	123	218	ENSG00000128487	SPECC1
259	656	71	39	43	72	ENSG00000116016	EPAS1
91	135	236	16	32	8	ENSG00000162981	FAM84A
282	186	200	41	33	33	ENSG00000158373	HIST1H2BD
39	98	151	23	19	15	ENSG00000170743	SYT9
34	61	186	9	26	10	ENSG00000103449	SALL1
19	10	14	59	114	82	ENSG00000238266	LINC00707
95	85	26	6	0	1	ENSG00000049249	TNFRSF9
6	6	6	28	108	73	ENSG00000109193	SULT1E1
31	12	13	0	0	2	ENSG00000115008	IL1A
1890	4678	600	389	308	429	ENSG00000117525	F3
1083	2252	956	167	199	204	ENSG00000176971	FIBIN
301	84	24	20	16	13	ENSG00000132530	XAF1
251	138	114	43	35	35	ENSG00000169067	ACTBL2
77	56	27	16	13	12	ENSG00000048052	HDAC9
85	338	91	43	23	43	ENSG00000212724	KRTAP2-3
113	60	36	483	333	253	ENSG00000101265	RASSF2
127	52	93	22	22	21	ENSG00000170681	CAVIN4
52	26	48	3	14	2	ENSG00000073737	DHRS9
9	60	14	0	6	0	ENSG00000170381	SEMA3E
48	59	36	14	7	5	ENSG00000273802	HIST1H2BG
29	5	324	9	4	6	ENSG00000159184	HOXB13
1104	2812	1185	235	287	623	ENSG00000131737	KRT34
4	118	15	5	3	0	ENSG00000126778	SIX1
45	25	28	114	75	232	ENSG00000176842	IRX5
0	0	0	4	26	38	ENSG00000155966	AFF2
27	42	8	3	2	1	ENSG00000136244	IL6
26	41	14	3	10	0	ENSG00000002746	HECW1
60	22	46	16	4	8	ENSG00000001617	SEMA3F
10	40	81	3	2	2	ENSG00000157782	CABP1
72	43	38	4	2	11	ENSG00000198133	TMEM229B
12	9	6	33	89	91	ENSG00000179388	EGR3
15	4	3	45	36	50	ENSG00000185565	LSAMP
106	15	30	13	1	4	ENSG00000170373	CST1
929	1005	622	123	117	167	ENSG00000180573	HIST1H2AC
20	15	2	189	188	263	ENSG00000134247	PTGFRN
150	217	561	69	116	45	ENSG00000164220	F2RL2
35	21	9	2	0	0	ENSG00000169245	CXCL10
129	110	173	8	6	11	ENSG00000163431	LMOD1
16	16	69	4	5	1	ENSG00000157368	IL34
593	198	85	49	22	29	ENSG00000115267	IFIH1
2027	1737	1022	111	21	76	ENSG00000090339	ICAM1
154	52	121	18	14	32	ENSG00000116032	GRIN3B
11	48	25	1	5	1	ENSG00000186417	GLDN
6	11	3	26	35	38	ENSG00000106236	NPTX2
1024	504	186	121	125	77	ENSG00000139629	GALNT6
15	7	28	2	4	1	ENSG00000113555	PCDH12
1211	197	38	28	14	6	ENSG00000089127	OAS1
3	3	1	19	14	21	ENSG00000169933	FRMPD4
29	119	0	1	1	1	ENSG00000124107	SLPI
3	3	5	31	12	17	ENSG00000255150	EID3
28	10	6	68	79	52	ENSG00000251151	HOXC-AS3
20	33	205	7	11	20	ENSG00000083067	TRPM3
33	76	66	6	3	8	ENSG00000171873	ADRA1D
3	49	141	5	11	2	ENSG00000139910	NOVA1
3	0	2	15	27	14	ENSG00000281344	HELLPAR
489	169	1070	87	35	69	ENSG00000121769	FABP3
18	34	12	3	4	3	ENSG00000124466	LYPD3
3	7	1	21	29	36	ENSG00000182985	CADM1
61	26	37	1	14	15	ENSG00000272419	AC241585.2
18	23	36	3	4	0	ENSG00000111846	GCNT2
59	20	50	1	7	3	ENSG00000135549	PKIB
119	177	275	39	51	27	ENSG00000101333	PLCB4
11	16	25	0	1	2	ENSG00000177675	CD163L1
16	5	17	1	2	0	ENSG00000169507	SLC38A11
7	7	124	6	0	1	ENSG00000186462	NAP1L2
734	311	174	109	89	56	ENSG00000133106	EPSTI1
26	26	7	156	59	48	ENSG00000172379	ARNT2
6	4	7	33	16	20	ENSG00000203995	ZYG11A
205	243	118	4	2	7	ENSG00000271503	CCL5
15	15	29	2	5	1	ENSG00000184916	JAG2
3930	1231	438	374	262	249	ENSG00000126709	IFI6
2	3	2	12	30	11	ENSG00000267216	AC020915.1
51	70	93	17	24	13	ENSG00000167653	PSCA
2	1	2	8	19	18	ENSG00000107518	ATRNL1
3531	2802	593	586	334	295	ENSG00000185215	TNFAIP2
