gene_id	gene	log2FoldChange	padj	stat
ENSG00000124164	VAPB	-0.2041	0.4607	None
ENSG00000278311	GGNBP2	-0.1332	0.5935	None
ENSG00000166974	MAPRE2	0.178	0.5489	None
ENSG00000140650	PMM2	-0.1101	0.7501	None
ENSG00000130856	ZNF236	0.2278	0.6399	None
ENSG00000162704	ARPC5	-0.1996	0.2923	None
ENSG00000175305	CCNE2	-1.451	4e-4	None
ENSG00000196810	CTBP1-AS2	0.1703	0.7119	None
ENSG00000204764	RANBP17	-0.4474	0.3185	None
ENSG00000107566	ERLIN1	-0.4504	0.0189	None
ENSG00000136982	DSCC1	-0.9015	1e-4	None
ENSG00000145919	BOD1	-0.0414	0.9111	None
ENSG00000184792	OSBP2	0.4576	0.5158	None
ENSG00000151746	BICD1	0.0119	0.979	None
ENSG00000065613	SLK	-0.3637	0.1177	None
ENSG00000163125	RPRD2	0.1114	0.7151	None
ENSG00000014914	MTMR11	0.0919	0.8293	None
ENSG00000225648	SBDSP1	-0.418	0.0759	None
ENSG00000113391	FAM172A	-0.252	0.4486	None
ENSG00000066135	KDM4A	0.5859	0.0045	None
ENSG00000151718	WWC2	0.103	0.7571	None
ENSG00000186594	MIR22HG	0.3918	0.186	None
ENSG00000069849	ATP1B3	-0.2315	0.2022	None
ENSG00000141569	TRIM65	0.2579	0.2967	None
ENSG00000135476	ESPL1	-0.5102	0.0945	None
ENSG00000198380	GFPT1	0.1364	0.6164	None
ENSG00000011143	MKS1	-0.0266	0.9685	None
ENSG00000152904	GGPS1	-0.0632	0.8948	None
ENSG00000115762	PLEKHB2	-0.2328	0.2074	None
ENSG00000136098	NEK3	-0.27	0.4799	None
ENSG00000040933	INPP4A	0.1781	0.5308	None
ENSG00000115944	COX7A2L	0.0328	0.9243	None
ENSG00000115266	APC2	0.6607	0.2229	None
ENSG00000164896	FASTK	0.0319	0.9274	None
ENSG00000278845	MRPL45	-0.0863	0.818	None
ENSG00000004864	SLC25A13	-0.2306	0.5121	None
ENSG00000151846	PABPC3	0.4306	0.7022	None
ENSG00000139613	SMARCC2	0.0789	0.8171	None
ENSG00000047188	YTHDC2	-0.2656	0.4155	None
ENSG00000187266	EPOR	0.903	0.0135	None
ENSG00000113580	NR3C1	-0.2611	0.3374	None
ENSG00000111652	COPS7A	-0.2076	0.3563	None
ENSG00000158864	NDUFS2	-0.0194	0.9535	None
ENSG00000232004	CAP1P2	-0.1498	0.8204	None
ENSG00000168268	NT5DC2	0.1478	0.5146	None
ENSG00000166710	B2M	-0.4191	0.1018	None
ENSG00000078142	PIK3C3	0.0206	0.9653	None
ENSG00000048740	CELF2	0.2846	0.7753	None
ENSG00000164066	INTU	0.3554	0.6163	None
ENSG00000139874	SSTR1	0.2783	0.4343	None
ENSG00000152049	KCNE4	0.3294	0.6059	None
ENSG00000231925	TAPBP	0.5832	0.0077	None
ENSG00000131378	RFTN1	0.1989	0.5126	None
ENSG00000119714	GPR68	-0.0811	0.9286	None
ENSG00000133740	E2F5	0.1867	0.7711	None
ENSG00000165655	ZNF503	0.0996	0.8112	None
ENSG00000125875	TBC1D20	0.1354	0.5655	None
ENSG00000236540	AC006547.1	0.277	0.6944	None
ENSG00000101439	CST3	-0.1545	0.5762	None
ENSG00000163521	GLB1L	0.0598	0.9348	None
ENSG00000135090	TAOK3	0.5974	7e-4	None
ENSG00000164932	CTHRC1	0.4082	0.0356	None
ENSG00000158352	SHROOM4	-0.3047	0.7937	None
ENSG00000138434	SSFA2	0.2135	0.3858	None
ENSG00000172531	PPP1CA	-0.2246	0.2413	None
ENSG00000165891	E2F7	-0.0111	0.9936	None
ENSG00000124588	NQO2	-0.2495	0.8963	None
ENSG00000103855	CD276	-0.09	0.808	None
ENSG00000157350	ST3GAL2	0.3628	0.0661	None
ENSG00000176986	SEC24C	0.1702	0.4664	None
ENSG00000197329	PELI1	0.0473	0.9429	None
ENSG00000144824	PHLDB2	-0.2539	0.5105	None
ENSG00000126107	HECTD3	0.2036	0.4477	None
ENSG00000197312	DDI2	-0.0877	0.8296	None
ENSG00000083099	LYRM2	-0.0763	0.8079	None
ENSG00000180611	MB21D2	0.1381	0.8123	None
ENSG00000129472	RAB2B	0.2564	0.4137	None
ENSG00000242071	RPL7AP6	-0.3998	0.1153	None
ENSG00000135845	PIGC	-0.3637	0.1977	None
ENSG00000277972	CISD3	-0.3636	0.0951	None
ENSG00000125319	C17orf53	-0.6822	0.1001	None
ENSG00000161526	SAP30BP	-0.1653	0.4852	None
ENSG00000165209	STRBP	0.1384	0.8525	None
ENSG00000101255	TRIB3	1.2187	0	None
ENSG00000116120	FARSB	-0.3981	0.0331	None
ENSG00000171735	CAMTA1	0.0226	0.9681	None
ENSG00000078618	NRDC	0.0115	0.9697	None
ENSG00000215256	DHRS4-AS1	0.1106	0.8131	None
ENSG00000107262	BAG1	-0.3866	0.1998	None
ENSG00000089060	SLC8B1	0.2091	0.6998	None
ENSG00000112996	MRPS30	-0.1747	0.5942	None
ENSG00000155085	AK9	0.3634	0.7319	None
ENSG00000164296	TIGD6	0.2605	0.6679	None
ENSG00000196611	MMP1	2.2518	0.0157	up
ENSG00000198715	GLMP	0.0661	0.8686	None
ENSG00000180011	ZADH2	-0.2719	0.3155	None
ENSG00000163882	POLR2H	-0.1053	0.7751	None
ENSG00000129353	SLC44A2	0.2295	0.2421	None
ENSG00000272333	KMT2B	-0.0125	0.978	None
ENSG00000135776	ABCB10	-0.2838	0.2772	None
ENSG00000198860	TSEN15	-0.0919	0.7773	None
ENSG00000165792	METTL17	-0.0721	0.8586	None
ENSG00000076356	PLXNA2	0.0381	0.9515	None
ENSG00000139697	SBNO1	-0.0828	0.8296	None
ENSG00000204120	GIGYF2	-0.0264	0.9394	None
ENSG00000140511	HAPLN3	0.2361	0.8087	None
ENSG00000180901	KCTD2	-0.0087	0.9812	None
ENSG00000184857	TMEM186	-0.1161	0.8322	None
ENSG00000151881	TMEM267	-0.273	0.6237	None
ENSG00000205356	TECPR1	0.4359	0.0492	None
ENSG00000129317	PUS7L	0.1067	0.7755	None
ENSG00000226415	TPI1P1	-0.111	0.8215	None
ENSG00000132383	RPA1	-0.4876	0.0012	None
ENSG00000129003	VPS13C	0.0303	0.9623	None
ENSG00000166896	ATP23	-0.2893	0.7766	None
ENSG00000091844	RGS17	0.0194	0.9745	None
ENSG00000247092	SNHG10	-0.0849	0.9005	None
ENSG00000111845	PAK1IP1	-0.4661	0.0591	None
ENSG00000007944	MYLIP	-0.2325	0.7571	None
ENSG00000205277	MUC12	-0.0471	0.9741	None
ENSG00000197530	MIB2	0.379	0.1666	None
ENSG00000171055	FEZ2	-0.0839	0.7793	None
ENSG00000118217	ATF6	-0.0344	0.9149	None
ENSG00000184056	VPS33B	-0.0041	0.9955	None
ENSG00000135698	MPHOSPH6	-0.2472	0.428	None
ENSG00000226287	TMEM191A	-0.0452	0.9563	None
ENSG00000147140	NONO	-0.1693	0.5288	None
ENSG00000151239	TWF1	-0.3553	0.1601	None
ENSG00000135114	OASL	-1.2749	0.5666	None
ENSG00000087087	SRRT	-0.3064	0.2071	None
ENSG00000164619	BMPER	-0.5897	0.0076	None
ENSG00000185716	MOSMO	0.078	0.8417	None
ENSG00000187601	MAGEH1	-0.1619	0.6629	None
ENSG00000254999	BRK1	0.046	0.8697	None
ENSG00000182272	B4GALNT4	0.592	0.2127	None
ENSG00000099999	RNF215	0.3985	0.1462	None
ENSG00000161091	MFSD12	0.285	0.1641	None
ENSG00000108518	PFN1	-0.29	0.0783	None
ENSG00000112029	FBXO5	-0.9153	0.0015	None
ENSG00000237499	AL357060.1	-0.9015	0.1727	None
ENSG00000259146	AC005476.2	0.5697	0.534	None
ENSG00000134453	RBM17	-0.1877	0.4289	None
ENSG00000004455	AK2	-0.1115	0.6698	None
ENSG00000105136	ZNF419	0.6939	0.1588	None
ENSG00000167632	TRAPPC9	0.2835	0.2604	None
ENSG00000151466	SCLT1	-0.7148	0.0122	None
ENSG00000129480	DTD2	0.0129	0.981	None
ENSG00000179611	DGKZP1	-0.2527	0.5014	None
ENSG00000185950	IRS2	0.0733	0.8706	None
ENSG00000214046	SMIM7	-0.2555	0.2723	None
ENSG00000172053	QARS	0.1962	0.3239	None
ENSG00000178458	H3F3AP6	-0.2865	0.7196	None
ENSG00000070371	CLTCL1	0.1849	0.7428	None
ENSG00000158079	PTPDC1	0.0214	0.9737	None
ENSG00000177239	MAN1B1	0.0382	0.9357	None
ENSG00000108691	CCL2	2.3114	0.2328	None
ENSG00000170619	COMMD5	-0.0212	0.962	None
ENSG00000151632	AKR1C2	0.1509	0.9279	None
ENSG00000131368	MRPS25	-0.4559	0.0299	None
ENSG00000013573	DDX11	-0.6381	0.0383	None
ENSG00000124226	RNF114	-0.12	0.7579	None
ENSG00000184677	ZBTB40	0.2737	0.2923	None
ENSG00000204954	C12orf73	-0.1937	0.7309	None
ENSG00000134107	BHLHE40	0.5316	0.0011	None
ENSG00000170540	ARL6IP1	-0.8545	0	None
ENSG00000146918	NCAPG2	-0.7146	0.0042	None
ENSG00000173918	C1QTNF1	0.0269	0.9744	None
ENSG00000044524	EPHA3	0.8741	0.3805	None
ENSG00000218426	AL590867.2	-0.4079	0.4022	None
ENSG00000066279	ASPM	-1.0523	1e-4	None
ENSG00000189077	TMEM120A	0.0124	0.9766	None
ENSG00000239306	RBM14	-0.3364	0.2195	None
ENSG00000117697	NSL1	-0.3467	0.1789	None
ENSG00000072163	LIMS2	-0.2826	0.8315	None
ENSG00000163064	EN1	0.6735	0.4812	None
ENSG00000259943	AL050341.2	-0.3997	0.6001	None
ENSG00000189221	MAOA	-0.1303	0.7615	None
ENSG00000160785	SLC25A44	0.1187	0.7116	None
ENSG00000196236	XPNPEP3	0.1694	0.6012	None
ENSG00000104723	TUSC3	0.0378	0.9332	None
ENSG00000111667	USP5	-0.1654	0.4451	None
ENSG00000137656	BUD13	-0.4145	0.1649	None
ENSG00000105339	DENND3	0.7245	0.0466	None
ENSG00000104691	UBXN8	-0.4631	0.1723	None
ENSG00000204681	GABBR1	0.5562	0.1666	None
ENSG00000131797	CLUHP3	0.3895	0.6441	None
ENSG00000169991	IFFO2	0.1576	0.6596	None
ENSG00000155304	HSPA13	-0.3575	0.1445	None
ENSG00000130475	FCHO1	0.8786	0.1694	None
ENSG00000179454	KLHL28	0.1202	0.8714	None
ENSG00000109390	NDUFC1	-0.1064	0.7367	None
ENSG00000145349	CAMK2D	-0.178	0.4799	None
ENSG00000130962	PRRG1	-0.1035	0.8451	None
ENSG00000251136	AF117829.1	0.4388	0.5804	None
ENSG00000123091	RNF11	0.3587	0.0346	None
ENSG00000196873	CBWD3	-0.8728	0.2854	None
ENSG00000091527	CDV3	-0.1297	0.611	None
ENSG00000230082	PRRT3-AS1	-0.232	0.7892	None
ENSG00000150760	DOCK1	0.0822	0.7967	None
ENSG00000198805	PNP	-0.2346	0.2763	None
ENSG00000111671	SPSB2	0.0834	0.8891	None
ENSG00000157764	BRAF	0.1904	0.5664	None
ENSG00000115641	FHL2	0.1099	0.7483	None
ENSG00000254615	AC027031.2	0.2315	0.6679	None
ENSG00000132376	INPP5K	0.188	0.594	None
ENSG00000248008	NRAV	-0.0224	0.9749	None
ENSG00000109220	CHIC2	0.0825	0.8242	None
ENSG00000269293	ZSCAN16-AS1	0.2696	0.7661	None
ENSG00000170264	FAM161A	-0.521	0.4766	None
ENSG00000165102	HGSNAT	-0.0771	0.8681	None
ENSG00000093009	CDC45	-0.6702	0.0209	None
ENSG00000186792	HYAL3	0.5525	0.1912	None
ENSG00000141279	NPEPPS	0.1774	0.3857	None
ENSG00000166770	ZNF667-AS1	0.5187	0.4187	None
ENSG00000167695	FAM57A	-0.2949	0.2822	None
ENSG00000143190	POU2F1	0.1978	0.7604	None
ENSG00000145604	SKP2	-0.2957	0.2781	None
ENSG00000197557	TTC30A	0.1016	0.9057	None
ENSG00000167081	PBX3	-0.0393	0.9237	None
ENSG00000183578	TNFAIP8L3	0.3998	0.4128	None
ENSG00000198818	SFT2D1	-0.1018	0.7747	None
ENSG00000143401	ANP32E	-0.6432	0.0026	None
ENSG00000120658	ENOX1	-0.2284	0.5973	None
ENSG00000119673	ACOT2	0.1449	0.7036	None
ENSG00000188343	FAM92A	0.0302	0.9504	None
ENSG00000087077	TRIP6	-0.047	0.8939	None
ENSG00000163026	WDCP	-0.2214	0.4608	None
ENSG00000240344	PPIL3	-0.1454	0.6918	None
ENSG00000083844	ZNF264	-0.0213	0.9652	None
ENSG00000172037	LAMB2	0.2581	0.4359	None
ENSG00000136052	SLC41A2	0.7974	0.209	None
ENSG00000215305	VPS16	-0.0365	0.9143	None
ENSG00000144583	MARCH4	-0.1738	0.456	None
ENSG00000174628	IQCK	-0.1092	0.9059	None
ENSG00000005194	CIAPIN1	-0.1757	0.52	None
ENSG00000154127	UBASH3B	0.3454	0.0803	None
ENSG00000155906	RMND1	-0.048	0.9129	None
ENSG00000249115	HAUS5	-0.6903	0.0126	None
ENSG00000169710	FASN	1.3195	0	None
ENSG00000182405	PGBD4	-0.0331	0.9687	None
ENSG00000164761	TNFRSF11B	-0.1081	0.9598	None
ENSG00000147119	CHST7	0.4952	0.1136	None
ENSG00000138175	ARL3	-0.0713	0.832	None
ENSG00000119917	IFIT3	-0.3197	0.6235	None
ENSG00000079482	OPHN1	0.4545	0.3615	None
ENSG00000119950	MXI1	1.0422	0.0196	None
ENSG00000205710	C17orf107	0.7813	0.3889	None
ENSG00000143633	C1orf131	-0.8173	0.0039	None
ENSG00000065882	TBC1D1	0.0304	0.9332	None
ENSG00000244486	SCARF2	0.3795	0.0305	None
ENSG00000198131	ZNF544	-0.1338	0.7643	None
ENSG00000125398	SOX9	0.4519	0.0411	None
ENSG00000112619	PRPH2	0.5697	0.3731	None
ENSG00000094804	CDC6	-0.8191	0.0189	None
ENSG00000168615	ADAM9	-0.032	0.9373	None
ENSG00000270959	LPP-AS2	-0.1775	0.8621	None
ENSG00000089154	GCN1	0.1891	0.409	None
ENSG00000162944	RFTN2	0.1351	0.9134	None
ENSG00000197601	FAR1	-0.3227	0.2975	None
ENSG00000139291	TMEM19	-0.1277	0.7068	None
ENSG00000075624	ACTB	-0.2481	0.1817	None
ENSG00000101670	LIPG	2.079	0	up
ENSG00000152784	PRDM8	-0.0524	0.9274	None
ENSG00000182871	COL18A1	0.0263	0.9681	None
ENSG00000136732	GYPC	0.4955	0.03	None
ENSG00000113648	H2AFY	0.0779	0.8151	None
ENSG00000241973	PI4KA	0.0384	0.9091	None
ENSG00000117475	BLZF1	-0.1685	0.6558	None
ENSG00000240583	AQP1	-1.2092	0.0678	None
ENSG00000166592	RRAD	2.1336	0.0026	up
ENSG00000162390	ACOT11	-0.9353	0.2955	None
ENSG00000274523	RCC1L	-0.1844	0.3789	None
ENSG00000164543	STK17A	0.2897	0.1547	None
ENSG00000113328	CCNG1	0.5577	0.001	None
ENSG00000198924	DCLRE1A	-0.5275	0.1478	None
ENSG00000181830	SLC35C1	0.0832	0.7928	None
ENSG00000144597	EAF1	-0.0088	0.9853	None
ENSG00000167601	AXL	0.1161	0.7198	None
ENSG00000198718	TOGARAM1	-0.092	0.8579	None
ENSG00000137074	APTX	-0.2817	0.2032	None
ENSG00000047644	WWC3	0.1537	0.5653	None
ENSG00000020577	SAMD4A	0.1173	0.75	None
ENSG00000115183	TANC1	0.7066	8e-4	None
ENSG00000283103	AC010642.2	-0.1511	0.8926	None
ENSG00000108256	NUFIP2	-0.2258	0.3672	None
ENSG00000137285	TUBB2B	0.7563	0.2563	None
ENSG00000174227	PIGG	0.055	0.8665	None
ENSG00000176894	PXMP2	-0.6221	0.3865	None
ENSG00000114107	CEP70	0.0754	0.9108	None
ENSG00000101452	DHX35	0.188	0.6417	None
ENSG00000172935	MRGPRF	-0.053900000000000003	0.8891	None
ENSG00000100129	EIF3L	0.0175	0.9593	None
ENSG00000130177	CDC16	-0.0549	0.8566	None
ENSG00000111371	SLC38A1	0.0932	0.8121	None
ENSG00000156313	RPGR	-0.3358	0.4054	None
ENSG00000143157	POGK	-0.0084	0.9822	None
ENSG00000169689	CENPX	-0.5814	0.0039	None
ENSG00000135968	GCC2	0.1856	0.7763	None
ENSG00000114904	NEK4	-0.1516	0.7209	None
ENSG00000165914	TTC7B	0.1982	0.5316	None
ENSG00000196531	NACA	-0.1396	0.5431	None
ENSG00000014123	UFL1	-0.1796	0.5942	None
ENSG00000166272	WBP1L	0.2628	0.2203	None
ENSG00000223803	RPS20P14	-0.2098	0.6686	None
ENSG00000186162	CIDECP	-0.2301	0.5935	None
ENSG00000130255	RPL36	-0.214	0.2918	None
ENSG00000175482	POLD4	0.157	0.7416	None
ENSG00000092531	SNAP23	0.4097	0.0699	None
ENSG00000109756	RAPGEF2	0.1269	0.6961	None
ENSG00000198890	PRMT6	-0.4668	0.0459	None
ENSG00000121022	COPS5	-0.1349	0.5754	None
ENSG00000120875	DUSP4	0.0729	0.9679	None
ENSG00000282936	AC004706.4	0.0597	0.9668	None
ENSG00000167721	TSR1	-0.5194	0.0036	None
ENSG00000081760	AACS	0.7672	1e-4	None
ENSG00000204227	RING1	-0.0062	0.9866	None
ENSG00000172340	SUCLG2	-0.0219	0.9653	None
ENSG00000101310	SEC23B	0.1687	0.506	None
ENSG00000156858	PRR14	0.1253	0.6455	None
ENSG00000130066	SAT1	0.3768	0.209	None
ENSG00000103978	TMEM87A	-0.1086	0.7467	None
ENSG00000126803	HSPA2	-0.2069	0.7561	None
ENSG00000040199	PHLPP2	-0.1923	0.4791	None
ENSG00000114942	EEF1B2	-0.2252	0.3308	None
ENSG00000105640	RPL18A	-0.1687	0.5321	None
ENSG00000234975	FTH1P2	-0.2124	0.8417	None
ENSG00000109475	RPL34	-0.1813	0.4159	None
ENSG00000168118	RAB4A	0.2411	0.4235	None
ENSG00000175567	UCP2	0.9417	0.0126	None
ENSG00000197380	DACT3	1.044	0.0692	None
ENSG00000122705	CLTA	-0.0919	0.7222	None
ENSG00000188092	GPR89B	-1.4879	0.1867	None
ENSG00000253161	LINC01605	0.3602	0.3925	None
ENSG00000112655	PTK7	0.3916	0.0436	None
ENSG00000174903	RAB1B	-0.0171	0.9594	None
ENSG00000135297	MTO1	-0.2347	0.4071	None
ENSG00000137601	NEK1	-0.3836	0.2836	None
ENSG00000184208	C22orf46	-0.0493	0.9214	None
ENSG00000101150	TPD52L2	-0.0865	0.7461	None
ENSG00000071051	NCK2	0.0474	0.8954	None
ENSG00000101955	SRPX	0.6479	7e-4	None
ENSG00000176953	NFATC2IP	-0.2191	0.4972	None
ENSG00000183726	TMEM50A	-0.1986	0.3294	None
ENSG00000141873	SLC39A3	-0.4213	0.043	None
ENSG00000167065	DUSP18	0.1173	0.8053	None
ENSG00000205937	RNPS1	-0.3078	0.0987	None
ENSG00000184992	BRI3BP	-0.2227	0.5171	None
ENSG00000021762	OSBPL5	0.208	0.4543	None
ENSG00000196199	MPHOSPH8	0.0486	0.8957	None
ENSG00000279088	AC022400.7	0.5091	0.3984	None
ENSG00000104164	BLOC1S6	-0.113	0.6961	None
ENSG00000143320	CRABP2	-0.7394	0	None
ENSG00000143951	WDPCP	-0.1065	0.9005	None
ENSG00000204152	TIMM23B	-0.0121	0.9816	None
ENSG00000139684	ESD	0.0102	0.979	None
ENSG00000270069	MIR222HG	-0.0333	0.9525	None
ENSG00000139579	NABP2	-0.0932	0.7469	None
ENSG00000187391	MAGI2	-0.1933	0.8187	None
ENSG00000148803	FUOM	-0.2966	0.5707	None
ENSG00000184203	PPP1R2	-0.1101	0.7133	None
ENSG00000117479	SLC19A2	-0.0166	0.9779	None
ENSG00000188895	MSL1	0.0629	0.8279	None
ENSG00000184363	PKP3	-0.3583	0.5556	None
ENSG00000159322	ADPGK	-0.0248	0.9462	None
ENSG00000249592	AC139887.2	-0.2647	0.7826	None
ENSG00000099785	MARCH2	0.6606	0.0304	None
ENSG00000129518	EAPP	-0.0594	0.8926	None
ENSG00000196793	ZNF239	-0.4167	0.3996	None
ENSG00000145982	FARS2	-0.3561	0.2588	None
ENSG00000140400	MAN2C1	0.084	0.8187	None
ENSG00000228672	PROB1	0.3197	0.8742	None
ENSG00000232815	DUX4L50	0.2715	0.8175	None
ENSG00000138356	AOX1	-0.3514	0.5083	None
ENSG00000141753	IGFBP4	-0.2452	0.1952	None
ENSG00000151414	NEK7	-0.5675	0.0236	None
ENSG00000065970	FOXJ2	-0.1969	0.488	None
ENSG00000135185	TMEM243	0.1734	0.7111	None
ENSG00000185414	MRPL30	-0.1908	0.4832	None
ENSG00000163291	PAQR3	-0.2334	0.4826	None
ENSG00000168000	BSCL2	0.3572	0.6324	None
ENSG00000079337	RAPGEF3	0.0455	0.9629	None
ENSG00000173950	XXYLT1	-0.1051	0.8321	None
ENSG00000204442	FAM155A	0.3962	0.3971	None
ENSG00000163428	LRRC58	-0.2576	0.4279	None
ENSG00000153944	MSI2	0.3928	0.1495	None
ENSG00000130304	SLC27A1	0.5105	0.1595	None
ENSG00000170222	ADPRM	0.0983	0.9111	None
ENSG00000178449	COX14	0.4376	0.1469	None
ENSG00000218336	TENM3	0.1428	0.8322	None
ENSG00000134871	COL4A2	-0.6882	0.7269	None
ENSG00000241468	ATP5MF	-0.1576	0.5143	None
ENSG00000144451	SPAG16	0.1446	0.8012	None
ENSG00000234009	RPL5P34	0.1654	0.7907	None
ENSG00000033867	SLC4A7	-0.1206	0.7954	None
ENSG00000141933	TPGS1	0.2155	0.4638	None
ENSG00000248905	FMN1	0.6075	0.1589	None
ENSG00000023572	GLRX2	-0.2227	0.4002	None
ENSG00000151500	THYN1	-0.0954	0.8204	None
ENSG00000119685	TTLL5	0.2212	0.4121	None
ENSG00000100908	EMC9	-0.1205	0.8068	None
ENSG00000147364	FBXO25	0.2853	0.5143	None
ENSG00000150459	SAP18	-0.2268	0.2663	None
ENSG00000213722	DDAH2	0.2379	0.2999	None
ENSG00000105486	LIG1	-0.6178	0.0155	None
ENSG00000148926	ADM	0.1616	0.6257	None
ENSG00000114125	RNF7	0.11	0.7059	None
ENSG00000119471	HSDL2	-0.1452	0.7109	None
ENSG00000182606	TRAK1	0.0869	0.7747	None
ENSG00000167565	SERTAD3	0.1463	0.6491	None
ENSG00000124596	OARD1	-0.0165	0.9753	None
ENSG00000146733	PSPH	0.8364	0.0016	None
ENSG00000131848	ZSCAN5A	-0.2048	0.825	None
ENSG00000148396	SEC16A	0.1949	0.4406	None
ENSG00000119280	C1orf198	0.4517	0.1361	None
ENSG00000101161	PRPF6	-0.2411	0.2342	None
ENSG00000144642	RBMS3	-0.0397	0.9594	None
ENSG00000163444	TMEM183A	-0.119	0.6535	None
ENSG00000137414	FAM8A1	0.521	0.1053	None
ENSG00000115461	IGFBP5	-1.1431	0.2284	None
ENSG00000100319	ZMAT5	-0.1805	0.6455	None
ENSG00000104866	PPP1R37	0.1282	0.6861	None
ENSG00000182979	MTA1	0.061	0.8281	None
ENSG00000063322	MED29	0.0143	0.9705	None
ENSG00000135720	DYNC1LI2	0.0616	0.8579	None
ENSG00000185338	SOCS1	-0.0412	0.9444	None
ENSG00000114737	CISH	-0.6286	0.472	None
ENSG00000128050	PAICS	-0.2417	0.383	None
ENSG00000126773	PCNX4	-0.0623	0.8547	None
ENSG00000115839	RAB3GAP1	-0.1067	0.73	None
ENSG00000280206	AC026401.3	-0.5506	0.1747	None
ENSG00000160050	CCDC28B	0.2802	0.4159	None
