UB_T12_1	UB_T12_2	UB_T12_3	UB_T5_1	UB_T5_2	UB_T5_3	gene_id	gene
45	76	31	9	16	11	ENSG00000160161	CILP2
2956	1836	1629	737	660	375	ENSG00000166165	CKB
23	22	9	3	0	1	ENSG00000179826	MRGPRX3
49	64	27	210	177	275	ENSG00000179242	CDH4
66	36	2	5	1	7	ENSG00000115602	IL1RL1
69	48	6	5	11	6	ENSG00000163898	LIPH
7	10	31	41	40	137	ENSG00000077092	RARB
4245	4143	1780	1055	838	896	ENSG00000112096	SOD2
48	29	19	6	5	11	ENSG00000152402	GUCY1A2
103	83	40	26	18	8	ENSG00000137393	RNF144B
31	25	12	0	0	0	ENSG00000125726	CD70
18	66	63	8	18	8	ENSG00000267774	AC010776.2
6	7	6	36	41	48	ENSG00000170500	LONRF2
1234	1109	416	192	232	315	ENSG00000138061	CYP1B1
19	11	21	86	64	87	ENSG00000103522	IL21R
11	67	36	0	2	0	ENSG00000162631	NTNG1
54	13	25	3	3	4	ENSG00000232973	CYP1B1-AS1
66	134	278	12	34	13	ENSG00000155816	FMN2
24	5	13	124	86	101	ENSG00000204131	NHSL2
145	138	413	23	24	27	ENSG00000188487	INSC
521	308	323	118	15	93	ENSG00000023445	BIRC3
33	43	28	4	13	10	ENSG00000171658	NMRAL2P
19	19	44	5	12	1	ENSG00000177990	DPY19L2
4	4	5	48	37	31	ENSG00000102230	PCYT1B
141	208	48	16	51	28	ENSG00000153162	BMP6
289	983	2313	191	168	210	ENSG00000163735	CXCL5
24	18	15	1	2	5	ENSG00000175315	CST6
9	1	4	40	18	37	ENSG00000173898	SPTBN2
31	5	15	200	75	288	ENSG00000144057	ST6GAL2
75	35	11	7	1	5	ENSG00000162654	GBP4
20	15	16	2	3	4	ENSG00000159871	LYPD5
66	29	21	3	13	14	ENSG00000105989	WNT2
31	76	5	0	2	13	ENSG00000173391	OLR1
87	188	153	22	20	64	ENSG00000221852	KRTAP1-5
2	5	4	36	14	21	ENSG00000002079	MYH16
86	130	25	23	22	25	ENSG00000081041	CXCL2
638	603	217	127	97	120	ENSG00000168685	IL7R
8	3	3	46	18	24	ENSG00000100427	MLC1
34	61	186	17	48	7	ENSG00000103449	SALL1
95	85	26	17	3	14	ENSG00000049249	TNFRSF9
6	6	6	11	49	45	ENSG00000109193	SULT1E1
43	35	20	141	194	197	ENSG00000175264	CHST1
251	138	114	20	11	36	ENSG00000169067	ACTBL2
18	11	14	135	41	44	ENSG00000134594	RAB33A
102	128	138	21	28	33	ENSG00000130751	NPAS1
85	338	91	27	20	68	ENSG00000212724	KRTAP2-3
113	60	36	884	617	327	ENSG00000101265	RASSF2
52	26	48	1	0	2	ENSG00000073737	DHRS9
6	5	7	41	27	37	ENSG00000280152	AC009078.3
29	5	324	6	6	3	ENSG00000159184	HOXB13
1104	2812	1185	215	221	618	ENSG00000131737	KRT34
4	118	15	2	8	1	ENSG00000126778	SIX1
45	25	28	147	109	205	ENSG00000176842	IRX5
10	7	4	38	44	30	ENSG00000108984	MAP2K6
27	42	8	10	4	2	ENSG00000136244	IL6
60	22	46	14	9	4	ENSG00000001617	SEMA3F
10	40	81	15	13	3	ENSG00000157782	CABP1
12	9	6	27	80	55	ENSG00000179388	EGR3
15	4	3	60	39	23	ENSG00000185565	LSAMP
125	22	45	485	213	349	ENSG00000145794	MEGF10
51	14	44	12	1	7	ENSG00000204642	HLA-F
20	15	2	127	148	138	ENSG00000134247	PTGFRN
35	21	9	4	0	2	ENSG00000169245	CXCL10
2027	1737	1022	353	167	353	ENSG00000090339	ICAM1
20	33	205	8	14	27	ENSG00000083067	TRPM3
11	9	10	20	27	98	ENSG00000176658	MYO1D
62	12	10	209	100	89	ENSG00000124920	MYRF
11	4	0	150	56	73	ENSG00000100078	PLA2G3
18	34	12	5	1	5	ENSG00000124466	LYPD3
18	23	36	4	5	0	ENSG00000111846	GCNT2
119	177	275	90	40	21	ENSG00000101333	PLCB4
11	16	25	0	0	1	ENSG00000177675	CD163L1
7	7	124	7	4	2	ENSG00000186462	NAP1L2
26	26	7	241	88	156	ENSG00000172379	ARNT2
205	243	118	8	4	42	ENSG00000271503	CCL5
237	31	160	2094	900	906	ENSG00000166341	DCHS1
51	70	93	14	16	21	ENSG00000167653	PSCA
1	1	0	12	11	32	ENSG00000132334	PTPRE
21	11	12	2	2	2	ENSG00000137975	CLCA2
