UB_T10_T12_1	UB_T10_T12_2	UB_T10_T12_3	UB_T10_T12_4	UB_T10_T12_5	UB_T10_T12_6	UB_T3_T5_1	UB_T3_T5_2	UB_T3_T5_3	UB_T3_T5_4	UB_T3_T5_5	UB_T3_T5_6	gene_id	gene
65	233	27	97	212	28	20	35	11	27	63	27	ENSG00000074211	PPP2R2C
117	100	90	206	47	113	36	45	21	18	32	13	ENSG00000232855	AF165147.1
1	1	2	0	2	2	5	2	6	11	7	5	ENSG00000279133	AC018628.1
13	11	43	13	7	55	1	5	1	7	7	3	ENSG00000134716	CYP2J2
0	5	4	4	2	2	16	18	11	16	12	8	ENSG00000135299	ANKRD6
133	200	85	86	151	87	23	69	9	28	52	19	ENSG00000109846	CRYAB
62	144	0	24	160	5	3	14	0	9	23	6	ENSG00000146966	DENND2A
4	13	8	2	22	6	0	2	4	0	3	0	ENSG00000187479	C11orf96
22	13	33	24	18	49	5	4	3	8	9	5	ENSG00000123364	HOXC13
1069	1059	3249	1126	849	2750	401	121	274	652	403	728	ENSG00000179862	CITED4
10	48	14	23	109	24	0	1	0	0	7	7	ENSG00000125845	BMP2
7	0	0	4	0	0	26	8	10	11	7	1	ENSG00000165633	VSTM4
1	7	20	3	11	11	4	2	4	2	1	1	ENSG00000225655	BX255923.1
8	13	7	11	42	4	0	2	1	0	2	5	ENSG00000110675	ELMOD1
0	1	1	1	1	2	8	5	5	7	2	4	ENSG00000225675	LINC01771
84	126	7	86	144	24	8	4	10	47	26	30	ENSG00000072952	MRVI1
0	4	5	0	15	30	0	3	0	0	2	1	ENSG00000169760	NLGN1
59	48	16	41	18	34	234	260	157	185	116	97	ENSG00000214357	NEURL1B
16	10	22	28	20	20	136	82	77	78	66	72	ENSG00000129173	E2F8
73	25	25	43	10	13	124	218	303	142	61	163	ENSG00000114115	RBP1
13	7	3	18	21	20	2	3	0	2	0	1	ENSG00000147697	GSDMC
19	7	14	39	15	6	103	41	89	122	52	168	ENSG00000104369	JPH1
3	25	4	25	101	7	1	8	13	0	9	4	ENSG00000211448	DIO2
13	10	56	3	2	36	3	7	11	3	3	3	ENSG00000108823	SGCA
1	4	4	4	3	1	8	4	12	23	6	33	ENSG00000224413	AP001476.1
3	2	2	1	2	4	12	30	4	8	9	2	ENSG00000069188	SDK2
260	327	1085	628	793	1967	106	100	122	378	162	189	ENSG00000138675	FGF5
69	118	165	211	220	320	861	1312	850	715	479	453	ENSG00000137812	KNL1
13	13	3	10	9	12	0	0	1	0	1	1	ENSG00000168481	LGI3
4	13	106	5	9	143	5	10	1	3	25	3	ENSG00000089225	TBX5
83	199	15	84	169	15	19	25	15	33	32	18	ENSG00000110042	DTX4
20	17	4	96	96	12	4	5	3	10	5	2	ENSG00000163347	CLDN1
1020	2254	179	803	1224	94	115	274	212	116	376	160	ENSG00000117594	HSD11B1
82	84	35	149	173	88	16	18	14	17	26	35	ENSG00000180596	HIST1H2BC
6	0	4	17	7	17	0	0	0	3	2	0	ENSG00000135373	EHF
8	4	26	17	5	73	0	3	0	11	15	2	ENSG00000152208	GRID2
1	3	19	9	9	23	1	0	1	1	6	4	ENSG00000060140	STYK1
20	40	61	21	32	101	5	32	13	1	4	5	ENSG00000186847	KRT14
4	6	10	4	8	9	2	0	0	3	4	0	ENSG00000223298	RNY3P8
13	6	1	8	3	1	3	0	0	0	0	2	ENSG00000163995	ABLIM2
151	157	96	130	127	70	38	26	23	16	20	36	ENSG00000130176	CNN1
25	23	23	18	10	12	3	5	8	2	11	0	ENSG00000248869	LINC02511
14	1	6	29	21	8	0	2	0	0	0	0	ENSG00000173432	SAA1
16	37	258	12	15	435	1	11	11	4	24	10	ENSG00000165300	SLITRK5
0	2	3	1	0	0	6	5	2	12	5	9	ENSG00000281026	N4BP2L2-IT2
11	38	79	28	58	73	2	10	6	0	3	10	ENSG00000226835	AC097059.1
4	0	0	3	0	0	60	30	14	42	25	9	ENSG00000066735	KIF26A
38	96	241	85	112	382	6	42	2	10	78	7	ENSG00000185985	SLITRK2
69	93	37	45	76	31	11	10	10	9	16	11	ENSG00000160161	CILP2
6	116	151	19	160	203	0	19	17	5	43	5	ENSG00000144339	TMEFF2
1	2	0	2	1	1	19	22	0	14	10	2	ENSG00000229676	ZNF492
35	222	107	32	243	213	2	52	15	5	48	20	ENSG00000185008	ROBO2
1	0	24	2	0	6	1	0	0	1	0	1	ENSG00000229637	PRAC2
18	29	15	12	19	23	2	1	9	12	4	3	ENSG00000179292	TMEM151A
3449	2405	1907	2956	1836	1629	609	522	424	737	660	375	ENSG00000166165	CKB
0	0	0	0	0	0	4	7	14	7	12	8	ENSG00000112559	MDFI
7	7	1	13	3	3	1	1	2	1	1	1	ENSG00000283445	AL136985.3
6	2	0	23	22	9	0	1	0	3	0	1	ENSG00000179826	MRGPRX3
36	46	19	49	64	27	175	149	170	210	177	275	ENSG00000179242	CDH4
29	19	2	66	36	2	5	9	7	5	1	7	ENSG00000115602	IL1RL1
6	4	2	18	2	2	38	14	45	58	27	28	ENSG00000112182	BACH2
17	34	45	6	32	31	4	4	8	1	13	7	ENSG00000112981	NME5
37	38	2	69	48	6	2	2	0	5	11	6	ENSG00000163898	LIPH
39	58	178	37	60	120	14	9	19	28	29	32	ENSG00000059915	PSD
5	3	7	48	29	19	0	0	4	6	5	11	ENSG00000152402	GUCY1A2
55	49	17	103	83	40	4	6	0	26	18	8	ENSG00000137393	RNF144B
9	8	1	31	25	12	0	0	0	0	0	0	ENSG00000125726	CD70
17	1	8	13	18	4	3	1	0	3	2	2	ENSG00000164400	CSF2
2	2	0	2	0	1	6	4	3	7	11	4	ENSG00000283761	AC118553.2
0	10	26	10	18	47	2	1	1	3	5	13	ENSG00000164796	CSMD3
2	1	1	0	0	4	5	19	15	3	18	8	ENSG00000152580	IGSF10
6	11	2	19	8	7	1	1	4	0	0	0	ENSG00000164181	ELOVL7
7	3	10	6	7	6	26	30	47	36	41	48	ENSG00000170500	LONRF2
3	3	0	0	3	0	7	11	18	6	2	12	ENSG00000106066	CPVL
3	9	7	5	12	14	0	2	3	1	0	2	ENSG00000246228	CASC8
0	3	4	8	9	1	51	34	24	27	22	12	ENSG00000197977	ELOVL2
10	4	3	9	5	10	1	0	3	4	1	1	ENSG00000263155	MYZAP
10	10	13	11	8	17	2	2	2	3	2	7	ENSG00000152463	OLAH
10	43	46	11	67	36	0	2	0	0	2	0	ENSG00000162631	NTNG1
1	1	7	5	2	6	29	20	9	16	12	23	ENSG00000215417	MIR17HG
11	23	8	54	13	25	3	2	14	3	3	4	ENSG00000232973	CYP1B1-AS1
11	4	1	24	15	1	0	0	0	0	4	3	ENSG00000231574	LINC02015
0	1	0	3	0	0	4	5	7	6	10	3	ENSG00000253476	AC091185.1
5	5	2	2	6	5	17	48	22	12	30	15	ENSG00000054356	PTPRN
33	13	152	51	17	658	17	3	11	40	13	8	ENSG00000146197	SCUBE3
1	1	15	14	5	18	1	2	1	4	0	3	ENSG00000188158	NHS
38	106	166	66	134	278	11	9	3	12	34	13	ENSG00000155816	FMN2
2	9	1	1	17	9	0	3	2	0	0	1	ENSG00000214518	KRTAP2-2
9	12	7	24	5	13	21	22	32	124	86	101	ENSG00000204131	NHSL2
11	33	12	42	30	21	1	9	0	14	14	3	ENSG00000136014	USP44
12	1	7	8	8	6	1	0	1	1	0	1	ENSG00000006210	CX3CL1
246	320	39	193	330	30	25	24	34	42	52	40	ENSG00000101210	EEF1A2
4	6	3	6	10	3	1	0	0	2	1	1	ENSG00000129465	RIPK3
88	108	271	145	138	413	28	45	15	23	24	27	ENSG00000188487	INSC
73	14	109	521	308	323	58	8	24	118	15	93	ENSG00000023445	BIRC3
14	15	25	19	19	44	2	9	0	5	12	1	ENSG00000177990	DPY19L2
3	0	0	1	1	0	1	5	3	13	2	8	ENSG00000236772	AL034550.1
0	0	1	0	0	1	0	0	18	0	2	21	ENSG00000186197	EDARADD
9	11	1	11	5	2	21	39	42	23	30	27	ENSG00000203727	SAMD5
97	127	155	98	119	155	814	802	463	627	469	394	ENSG00000186193	SAPCD2
4	4	8	0	1	12	26	32	20	21	18	9	ENSG00000198901	PRC1
6	4	1	1	3	2	26	14	19	16	6	13	ENSG00000261762	AC027228.2
0	2	0	1	1	0	10	1	5	7	0	13	ENSG00000153404	PLEKHG4B
129	226	1256	289	983	2313	195	189	108	191	168	210	ENSG00000163735	CXCL5
0	2	0	0	0	0	7	0	0	17	5	7	ENSG00000267336	EIF4A2P1
20	2	14	31	5	15	78	46	202	200	75	288	ENSG00000144057	ST6GAL2
28	6	0	75	35	11	1	0	1	7	1	5	ENSG00000162654	GBP4
118	164	24	144	105	21	467	660	337	369	427	334	ENSG00000169594	BNC1
5	11	4	4	6	9	0	0	3	0	0	1	ENSG00000231156	AC093702.1
17	24	9	20	15	16	0	1	5	2	3	4	ENSG00000159871	LYPD5
3	5	0	19	13	7	0	4	0	0	1	3	ENSG00000111339	ART4
5	12	1	31	76	5	3	0	5	0	2	13	ENSG00000173391	OLR1
2	0	0	2	0	2	6	5	7	18	12	13	ENSG00000006432	MAP3K9
5	14	339	4	7	352	13	11	3	11	8	7	ENSG00000186897	C1QL4
32	99	66	49	93	96	1	16	9	16	54	17	ENSG00000162415	ZSWIM5
1	1	3	2	5	4	19	2	4	36	14	21	ENSG00000002079	MYH16
4	18	3	10	32	1	1	3	2	0	4	0	ENSG00000104044	OCA2
51	117	49	86	130	25	21	21	14	23	22	25	ENSG00000081041	CXCL2
6	12	5	2	9	10	13	20	77	3	20	80	ENSG00000120594	PLXDC2
4	3	2	2	1	6	27	4	8	28	8	25	ENSG00000149970	CNKSR2
3	16	1	17	7	2	0	4	1	1	3	1	ENSG00000111728	ST8SIA1
74	138	145	91	135	236	16	32	8	25	115	22	ENSG00000162981	FAM84A
245	169	159	282	186	200	41	33	33	72	74	82	ENSG00000158373	HIST1H2BD
40	100	81	34	61	186	9	26	10	17	48	7	ENSG00000103449	SALL1
50	16	16	95	85	26	6	0	1	17	3	14	ENSG00000049249	TNFRSF9
5	16	5	6	6	6	28	108	73	11	49	45	ENSG00000109193	SULT1E1
1205	2665	634	1890	4678	600	389	308	429	351	477	734	ENSG00000117525	F3
113	46	44	251	138	114	43	35	35	20	11	36	ENSG00000169067	ACTBL2
12	0	3	6	17	7	0	0	0	1	1	2	ENSG00000232810	TNF
189	80	30	113	60	36	483	333	253	884	617	327	ENSG00000101265	RASSF2
7	9	0	7	6	4	1	0	1	0	1	2	ENSG00000110900	TSPAN11
28	17	72	52	26	48	3	14	2	1	0	2	ENSG00000073737	DHRS9
30	13	261	29	5	324	9	4	6	6	6	3	ENSG00000159184	HOXB13
907	2106	1244	1104	2812	1185	235	287	623	215	221	618	ENSG00000131737	KRT34
10	73	15	4	118	15	5	3	0	2	8	1	ENSG00000126778	SIX1
1	1	0	0	0	0	4	26	38	6	8	22	ENSG00000155966	AFF2
12	3	3	27	42	8	3	2	1	10	4	2	ENSG00000136244	IL6
0	0	2	0	1	1	4	13	5	2	5	0	ENSG00000271387	AL445228.2
23	28	73	10	40	81	3	2	2	15	13	3	ENSG00000157782	CABP1
110	59	24	72	43	38	4	2	11	21	14	18	ENSG00000198133	TMEM229B
7	8	9	12	9	6	33	89	91	27	80	55	ENSG00000179388	EGR3
23	9	5	15	4	3	45	36	50	60	39	23	ENSG00000185565	LSAMP
61	28	64	125	22	45	243	137	290	485	213	349	ENSG00000145794	MEGF10
0	0	0	0	2	0	9	8	13	0	1	4	ENSG00000181656	GPR88
2	0	0	0	2	0	13	6	5	5	5	5	ENSG00000171224	FAM241B
129	13	22	106	15	30	13	1	4	36	3	3	ENSG00000170373	CST1
981	985	691	929	1005	622	123	117	167	248	260	318	ENSG00000180573	HIST1H2AC
5	3	4	3	3	12	1	0	1	2	1	0	ENSG00000214212	C19orf38
0	0	3	0	2	0	4	5	3	3	6	8	ENSG00000250326	AC104596.1
60	43	13	20	15	2	189	188	263	127	148	138	ENSG00000134247	PTGFRN
7	1	9	6	13	2	0	1	0	0	3	4	ENSG00000138378	STAT4
4	2	2	35	21	9	2	0	0	4	0	2	ENSG00000169245	CXCL10
0	2	0	1	3	3	18	19	5	11	3	2	ENSG00000256304	CCDC150P1
1090	393	297	2027	1737	1022	111	21	76	353	167	353	ENSG00000090339	ICAM1
149	97	90	154	52	121	18	14	32	32	19	42	ENSG00000116032	GRIN3B
12	81	7	11	48	25	1	5	1	0	18	4	ENSG00000186417	GLDN
12	47	2	16	50	0	146	826	345	45	130	97	ENSG00000133110	POSTN
1	2	23	0	0	20	0	0	0	1	1	0	ENSG00000283633	AP000547.3
0	0	1	0	0	0	10	4	2	10	12	14	ENSG00000182175	RGMA
1115	768	226	1024	504	186	121	125	77	224	216	154	ENSG00000139629	GALNT6
465	41	10	1211	197	38	28	14	6	137	16	15	ENSG00000089127	OAS1
6	5	0	3	3	1	19	14	21	8	12	8	ENSG00000169933	FRMPD4
28	226	5	29	119	0	1	1	1	2	2	2	ENSG00000124107	SLPI
3	2	1	1	1	3	2	5	21	4	4	14	ENSG00000166206	GABRB3
17	34	113	20	33	205	7	11	20	8	14	27	ENSG00000083067	TRPM3
11	4	9	11	4	0	13	8	7	150	56	73	ENSG00000100078	PLA2G3
1	33	77	3	49	141	5	11	2	1	29	4	ENSG00000139910	NOVA1
1	0	2	1	2	2	4	3	8	6	10	4	ENSG00000228477	AL663070.1
0	1	2	3	0	2	15	27	14	11	7	9	ENSG00000281344	HELLPAR
20	147	24	22	156	36	6	37	8	6	42	6	ENSG00000137273	FOXF2
3	0	0	9	0	1	6	17	19	16	5	13	ENSG00000204361	NXPE2
32	27	4	18	34	12	3	4	3	5	1	5	ENSG00000124466	LYPD3
1	10	0	3	7	1	21	29	36	6	24	30	ENSG00000182985	CADM1
0	0	199	0	0	191	0	0	0	0	0	0	ENSG00000223812	AC073365.1
16	11	30	18	23	36	3	4	0	4	5	0	ENSG00000111846	GCNT2
1	0	0	2	1	0	0	14	3	5	2	7	ENSG00000231154	MORF4L2-AS1
7	7	5	8	0	2	0	0	1	0	0	3	ENSG00000231054	AC093833.1
0	6	1	2	0	1	8	5	12	9	3	11	ENSG00000109265	KIAA1211
5	7	4	1	13	18	0	1	0	0	3	3	ENSG00000153253	SCN3A
17	8	116	59	20	50	1	7	3	15	14	23	ENSG00000135549	PKIB
2	2	4	3	5	0	14	12	15	10	15	10	ENSG00000214796	AC098934.1
1	6	14	11	16	25	0	1	2	0	0	1	ENSG00000177675	CD163L1
11	5	9	16	5	17	1	2	0	2	0	5	ENSG00000169507	SLC38A11
1	6	13	3	10	7	0	1	0	5	3	1	ENSG00000251003	ZFPM2-AS1
0	1	1	1	2	0	1	10	7	4	7	6	ENSG00000257596	AC078778.1
4	2	101	7	7	124	6	0	1	7	4	2	ENSG00000186462	NAP1L2
33	24	11	26	26	7	156	59	48	241	88	156	ENSG00000172379	ARNT2
79	29	23	205	243	118	4	2	7	8	4	42	ENSG00000271503	CCL5
15	1	2	28	11	0	0	1	1	0	0	0	ENSG00000136514	RTP4
7	13	8	1	9	11	2	4	0	2	0	2	ENSG00000163053	SLC16A14
18	10	9	14	7	5	1	1	3	7	3	0	ENSG00000196407	THEM5
2760	493	431	3930	1231	438	374	262	249	1023	292	249	ENSG00000126709	IFI6
4	2	4	2	3	2	12	30	11	10	16	13	ENSG00000267216	AC020915.1
1	1	3	0	1	1	19	2	6	22	10	9	ENSG00000147180	ZNF711
415	118	97	237	31	160	627	347	438	2094	900	906	ENSG00000166341	DCHS1
51	70	146	51	70	93	17	24	13	14	16	21	ENSG00000167653	PSCA
3	3	1	2	1	2	8	19	18	7	11	7	ENSG00000107518	ATRNL1
0	5	2	1	1	0	1	1	14	12	11	32	ENSG00000132334	PTPRE
11	14	5	21	11	12	3	5	4	2	2	2	ENSG00000137975	CLCA2
1	3	0	1	0	0	8	6	5	9	6	4	ENSG00000242419	PCDHGC4
0	0	0	1	2	1	2	7	4	5	3	9	ENSG00000181227	DLSTP1
8	118	42	12	117	54	1	11	0	0	12	1	ENSG00000198732	SMOC1
