AD_T10_T12_1	AD_T10_T12_2	AD_T10_T12_3	AD_T10_T12_4	AD_T10_T12_5	AD_T10_T12_6	AD_T3_T5_1	AD_T3_T5_2	AD_T3_T5_3	AD_T3_T5_4	AD_T3_T5_5	AD_T3_T5_6	gene_id	gene
20	5	4	11	0	26	94	74	60	36	6	9	ENSG00000143196	DPT
96	157	164	321	278	252	1239	1559	1281	513	479	316	ENSG00000080986	NDC80
0	0	0	0	2	0	5	9	3	6	3	0	ENSG00000284634	AC092821.3
5	5	6	6	1	3	1	1	0	0	1	1	ENSG00000283828	AL137002.2
41	12	52	22	14	44	188	213	182	151	186	117	ENSG00000183801	OLFML1
95	204	189	433	229	343	1602	1758	1541	565	465	391	ENSG00000024526	DEPDC1
5	4	3	2	0	1	0	0	0	0	0	0	ENSG00000276778	LINC02227
10	15	26	12	10	19	1	2	5	3	8	5	ENSG00000105427	CNFN
0	1	0	5	8	2	3	6	1	39	46	56	ENSG00000137265	IRF4
177	223	227	105	187	178	2	0	2	3	12	5	ENSG00000233308	OSTN-AS1
22	38	67	31	25	43	0	3	6	4	7	13	ENSG00000267669	AC098847.1
16	8	16	6	2	3	0	3	0	4	5	1	ENSG00000257551	HLX-AS1
18	16	16	7	6	12	3	2	3	2	4	3	ENSG00000108688	CCL7
62	81	72	276	59	108	568	834	520	262	284	204	ENSG00000118193	KIF14
11	7	9	20	8	10	1	6	2	2	2	0	ENSG00000171509	RXFP1
131	74	109	170	126	96	13	13	17	43	31	28	ENSG00000163536	SERPINI1
4	6	3	3	2	2	0	0	0	0	0	0	ENSG00000278881	FP325331.1
1	1	0	1	1	1	10	3	10	4	9	1	ENSG00000272953	AC092171.4
1	7	1	3	4	7	26	20	27	86	75	63	ENSG00000213626	LBH
0	0	3	6	2	13	10	2	13	45	33	35	ENSG00000183196	CHST6
22	2	8	10	0	1	0	1	0	0	0	0	ENSG00000253628	AC110011.1
0	3	1	0	0	0	2	5	15	2	1	8	ENSG00000267383	AC011447.3
0	0	2	2	0	1	5	4	0	7	6	9	ENSG00000213145	CRIP1
175	175	219	156	124	148	17	12	11	45	27	16	ENSG00000172399	MYOZ2
30	24	21	34	20	16	33	40	38	270	202	286	ENSG00000092068	SLC7A8
23	9	27	23	10	16	5	2	2	2	10	1	ENSG00000165474	GJB2
11	8	6	3	6	6	3	2	1	3	0	0	ENSG00000279459	AP001271.2
4	0	1	1	0	1	2	4	12	3	4	11	ENSG00000161180	CCDC116
3	20	24	7	16	45	0	2	1	1	1	0	ENSG00000117600	PLPPR4
6	12	59	14	15	44	31	23	15	630	612	412	ENSG00000169174	PCSK9
0	0	0	3	1	0	6	6	7	6	2	3	ENSG00000134962	KLB
14	19	15	36	22	12	1	2	2	4	6	2	ENSG00000115339	GALNT3
27	11	35	30	5	24	2	2	0	0	4	0	ENSG00000133800	LYVE1
7	4	14	5	4	0	0	0	0	0	0	0	ENSG00000140519	RHCG
2	36	11	2	14	11	78	46	124	161	137	360	ENSG00000100842	EFS
0	0	0	1	2	3	2	6	6	9	7	6	ENSG00000267395	DM1-AS
24	13	9	32	1	34	126	116	40	218	180	71	ENSG00000283787	AC051649.2
217	82	121	158	99	79	25	22	49	10	17	8	ENSG00000115009	CCL20
14	1	5	3	1	2	0	0	2	0	1	0	ENSG00000069812	HES2
3	7	4	2	0	1	0	0	0	1	0	0	ENSG00000223620	RBM48P1
4	0	4	2	0	6	3	2	0	42	38	22	ENSG00000198719	DLL1
29	50	39	61	78	63	274	308	310	279	221	281	ENSG00000213347	MXD3
4	6	3	8	4	13	0	2	1	3	1	1	ENSG00000257556	LINC02298
1	10	4	1	0	8	0	1	0	0	1	0	ENSG00000250994	AC005355.1
112	106	71	40	36	33	576	390	364	656	430	421	ENSG00000106976	DNM1
63	31	63	50	27	38	7	3	3	13	21	22	ENSG00000116675	DNAJC6
20	28	23	46	33	31	161	201	155	116	228	225	ENSG00000160447	PKN3
139	6	15	304	17	32	1	0	0	16	9	1	ENSG00000198910	L1CAM
49	25	47	86	41	84	0	13	5	12	15	16	ENSG00000067715	SYT1
11	9	6	14	7	2	0	2	0	1	1	2	ENSG00000152766	ANKRD22
13	3	9	12	8	5	1	1	4	3	0	2	ENSG00000121577	POPDC2
0	0	2	2	1	0	3	1	0	25	58	20	ENSG00000255690	TRIL
50	55	36	24	31	15	8	2	7	6	6	16	ENSG00000170689	HOXB9
405	309	509	577	514	559	15	31	34	31	29	31	ENSG00000008517	IL32
10	14	10	16	5	7	0	0	3	2	0	3	ENSG00000188290	HES4
10	4	11	19	9	11	19	19	10	71	58	97	ENSG00000250041	AC069360.1
94	137	45	123	146	55	6	3	6	10	6	23	ENSG00000227517	LINC01483
0	1	0	1	0	0	5	8	2	5	6	2	ENSG00000275092	AL031710.2
3	0	3	3	1	5	0	0	0	0	0	0	ENSG00000255921	AC026310.2
3	17	10	5	5	1	0	1	0	2	5	1	ENSG00000214376	VSTM5
1	5	5	4	1	5	0	0	0	0	0	1	ENSG00000243953	AC073359.1
0	0	1	0	0	0	2	13	3	1	9	2	ENSG00000215630	GUSBP9
9	5	2	4	11	8	1	1	0	2	3	1	ENSG00000261555	AC025277.1
8	4	2	3	4	4	16	26	33	11	7	15	ENSG00000131471	AOC3
11	12	19	30	14	6	42	25	35	139	115	94	ENSG00000139946	PELI2
18	35	33	27	51	64	3	5	2	9	21	12	ENSG00000251144	AC113346.1
14	7	8	44	6	38	0	0	0	0	0	0	ENSG00000215853	RPTN
40	30	65	35	9	69	0	8	1	1	2	2	ENSG00000182261	NLRP10
0	0	0	1	0	0	9	5	5	4	2	7	ENSG00000168913	ENHO
18	6	18	18	2	15	0	2	0	0	0	0	ENSG00000046889	PREX2
5	12	19	3	5	6	24	5	10	75	164	153	ENSG00000164935	DCSTAMP
92	129	125	128	143	130	39	23	18	21	36	52	ENSG00000099822	HCN2
1	3	1	3	1	6	0	0	0	0	0	0	ENSG00000276012	AL160153.1
7	5	5	13	2	2	3	1	0	0	2	1	ENSG00000169442	CD52
16	16	24	17	16	23	77	103	92	65	75	108	ENSG00000121316	PLBD1
7	39	38	5	24	22	405	694	732	95	335	268	ENSG00000211772	TRBC2
12	0	5	21	3	19	3	0	0	5	0	0	ENSG00000022556	NLRP2
203	124	180	228	108	91	8	12	11	19	18	28	ENSG00000158406	HIST1H4H
11	1	5	13	4	11	0	0	1	2	2	4	ENSG00000185818	NAT8L
24	25	13	26	26	14	2	4	5	3	5	0	ENSG00000005513	SOX8
0	0	1	0	0	0	1	1	2	5	6	3	ENSG00000137675	MMP27
65	21	97	69	8	44	12	31	19	5	1	4	ENSG00000187094	CCK
4	14	9	16	9	10	47	74	41	53	72	50	ENSG00000138336	TET1
1	0	0	1	1	2	2	1	8	13	19	11	ENSG00000153902	LGI4
5	6	3	21	3	6	60	13	19	77	9	43	ENSG00000142494	SLC47A1
5	6	14	7	11	4	0	2	0	4	5	0	ENSG00000139209	SLC38A4
50	54	61	52	31	41	3	6	0	16	19	22	ENSG00000105639	JAK3
11	18	5	14	34	20	0	0	1	4	2	2	ENSG00000226644	AL121899.1
47	25	55	157	81	59	48	88	50	897	1604	1020	ENSG00000183134	PTGDR2
176	394	444	641	521	666	3366	4299	3843	1224	1266	1076	ENSG00000145386	CCNA2
27	69	66	112	150	114	599	742	782	209	159	191	ENSG00000152253	SPC25
10	10	8	17	1	10	1	3	1	1	1	4	ENSG00000235008	AL023775.1
37	55	41	59	64	28	11	3	9	10	22	15	ENSG00000112183	RBM24
0	1	0	2	0	0	14	2	9	72	22	97	ENSG00000171724	VAT1L
4	3	12	7	3	24	65	106	67	102	145	91	ENSG00000099284	H2AFY2
1	3	0	3	3	0	1	5	12	8	22	7	ENSG00000174599	TRAM1L1
0	0	0	0	2	2	5	2	10	4	8	8	ENSG00000111046	MYF6
6	0	3	4	6	0	0	0	0	0	0	0	ENSG00000236366	AL359313.1
1	0	0	1	0	0	4	6	13	1	3	0	ENSG00000196666	FAM180B
101	187	248	436	337	424	2117	2337	1828	878	684	616	ENSG00000137804	NUSAP1
4	31	42	7	6	18	46	120	53	43	150	74	ENSG00000154856	APCDD1
0	4	2	4	3	2	20	25	18	14	6	5	ENSG00000196081	ZNF724
30	35	27	23	28	40	209	189	147	124	96	63	ENSG00000157470	FAM81A
23	25	29	16	2	12	109	74	59	98	139	128	ENSG00000152217	SETBP1
69	4	3	14	7	1	542	19	59	279	13	49	ENSG00000182836	PLCXD3
129	200	205	395	350	314	1778	2130	1668	824	778	610	ENSG00000126787	DLGAP5
31	47	53	104	77	94	2	5	8	0	11	10	ENSG00000116833	NR5A2
1199	902	1188	1344	852	923	187	173	199	300	209	246	ENSG00000197903	HIST1H2BK
102	231	181	432	176	402	1493	2040	1355	1011	1131	1257	ENSG00000183856	IQGAP3
8	9	15	10	4	10	0	2	0	2	4	5	ENSG00000277758	FO681492.1
0	2	4	5	8	1	0	0	0	1	0	0	ENSG00000186891	TNFRSF18
53	6	19	50	22	13	12	2	2	17	2	0	ENSG00000163092	XIRP2
656	1802	6521	906	660	4125	153	577	193	102	933	440	ENSG00000137801	THBS1
88	72	48	256	135	75	17	10	33	46	17	35	ENSG00000115290	GRB14
57	72	68	191	129	137	672	692	796	371	275	339	ENSG00000100162	CENPM
186	49	73	201	46	76	22	28	7	15	6	5	ENSG00000232855	AF165147.1
3	0	2	3	1	0	9	4	4	7	7	7	ENSG00000179921	GPBAR1
608	1156	1170	486	510	484	33	134	134	63	324	244	ENSG00000113739	STC2
1	0	5	1	0	1	15	20	11	15	14	14	ENSG00000135472	FAIM2
9	9	6	3	7	8	0	1	0	1	4	2	ENSG00000141293	SKAP1
13	1	3	5	0	0	0	0	1	0	0	0	ENSG00000235885	LINC01828
56	9	50	89	25	37	10	9	5	10	12	6	ENSG00000112186	CAP2
4	5	1	12	6	3	0	1	0	1	3	1	ENSG00000279311	AC092999.1
6	8	2	1	3	5	9	3	8	84	78	100	ENSG00000165821	SALL2
25	22	22	57	26	27	7	6	12	5	4	10	ENSG00000225968	ELFN1
4	4	11	5	5	14	2	0	0	1	1	0	ENSG00000249806	AC139720.1
0	0	1	0	0	0	4	2	13	0	3	9	ENSG00000196172	ZNF681
4	4	12	9	20	22	0	1	0	7	4	1	ENSG00000258788	CKS1BP1
33	37	30	21	11	19	113	69	94	215	138	189	ENSG00000161267	BDH1
132	324	293	589	374	501	3196	3606	3123	1541	1334	1454	ENSG00000112984	KIF20A
6	6	9	1	11	6	2	0	3	0	0	0	ENSG00000248572	EGFLAM-AS2
1	1	4	3	0	1	21	9	8	16	7	10	ENSG00000178498	DTX3
137	369	376	520	446	560	2705	3001	2632	940	989	1053	ENSG00000076382	SPAG5
0	4	0	0	0	0	1	2	1	24	11	7	ENSG00000082497	SERTAD4
5	0	1	3	3	3	0	0	0	0	0	0	ENSG00000180176	TH
7	6	10	3	4	3	26	12	10	43	26	34	ENSG00000133937	GSC
79	50	98	47	62	38	8	4	1	36	4	29	ENSG00000187479	C11orf96
12	3	8	28	5	12	6	1	0	4	0	1	ENSG00000185274	GALNT17
14	7	2	14	7	3	1	0	4	2	0	0	ENSG00000047936	ROS1
8	19	29	10	10	13	0	0	0	0	0	0	ENSG00000153294	ADGRF4
1	3	3	18	2	7	1	0	0	1	1	1	ENSG00000179593	ALOX15B
28	68	31	20	61	35	4	15	10	6	12	6	ENSG00000233532	LINC00460
71	36	49	122	31	60	16	25	5	14	21	4	ENSG00000163491	NEK10
14	7	5	7	5	12	2	0	1	1	0	0	ENSG00000182389	CACNB4
5	0	2	1	1	3	9	20	9	4	12	5	ENSG00000116703	PDC
128	206	212	552	285	428	1712	2248	1595	725	732	529	ENSG00000138160	KIF11
88	40	96	35	6	43	6	24	9	10	7	1	ENSG00000180535	BHLHA15
4	4	7	1	5	4	0	0	0	0	0	0	ENSG00000204613	TRIM10
9	2	35	10	2	45	0	0	0	0	0	0	ENSG00000157542	KCNJ6
7	3	1	11	2	1	1	0	2	0	0	0	ENSG00000246363	LINC02458
10	11	10	27	6	0	1	0	0	0	0	0	ENSG00000235782	AL031429.1
8	1	3	9	1	2	0	0	0	0	0	0	ENSG00000241318	WDR82P2
125	320	377	431	461	526	2494	2902	3116	827	842	937	ENSG00000142945	KIF2C
27	58	64	46	30	55	0	0	1	2	3	0	ENSG00000259721	AC090877.2
317	436	492	814	430	848	36	212	131	59	254	157	ENSG00000164161	HHIP
2	0	1	1	0	2	12	5	10	8	1	4	ENSG00000198354	DCAF12L2
455	1023	974	1495	1499	1536	7227	8497	8215	2777	2555	2955	ENSG00000117399	CDC20
161	250	286	432	291	421	2002	2255	1782	643	594	583	ENSG00000156970	BUB1B
0	1	0	6	7	7	30	48	23	9	17	24	ENSG00000214357	NEURL1B
0	0	0	1	0	1	4	5	7	1	3	2	ENSG00000114115	RBP1
0	1	0	0	1	0	20	11	5	37	19	24	ENSG00000142149	HUNK
27	28	14	31	33	6	0	0	1	4	1	4	ENSG00000258791	LINC00520
11	3	9	10	4	5	102	111	196	8	5	8	ENSG00000049540	ELN
12	4	7	10	6	10	0	0	0	0	0	0	ENSG00000147697	GSDMC
35	56	36	21	18	17	1	0	5	2	0	12	ENSG00000110203	FOLR3
27	22	18	21	23	21	5	2	2	2	4	3	ENSG00000260807	AC009041.2
1	10	0	3	6	2	0	0	0	0	0	0	ENSG00000237560	LINC01497
5	2	4	9	4	3	0	0	3	0	0	1	ENSG00000211448	DIO2
96	51	31	135	184	102	24	9	47	4	12	8	ENSG00000164736	SOX17
4	7	15	11	8	3	4	1	0	3	1	1	ENSG00000268225	AC010487.1
2	4	0	1	2	0	37	26	65	7	10	2	ENSG00000131477	RAMP2
10	15	10	35	46	37	4	2	3	1	1	5	ENSG00000198028	ZNF560
102	153	135	338	96	210	1349	1705	1006	529	504	314	ENSG00000137812	KNL1
0	2	15	0	2	5	2	22	11	17	57	14	ENSG00000151702	FLI1
6	8	9	8	5	1	3	0	0	1	1	0	ENSG00000108932	SLC16A6
5	3	15	15	9	18	53	77	53	50	42	49	ENSG00000284946	AC068831.7
23	23	31	27	18	11	1	5	0	1	2	0	ENSG00000163347	CLDN1
1031	1652	1098	1004	923	612	57	76	239	14	12	32	ENSG00000197632	SERPINB2
8	5	8	12	2	0	8	6	3	159	253	107	ENSG00000101638	ST8SIA5
73	64	94	69	41	55	3	4	4	7	5	11	ENSG00000083454	P2RX5
1728	1434	1779	1375	1356	1221	334	300	252	479	525	372	ENSG00000139318	DUSP6
175	124	174	245	122	134	7	6	8	30	13	21	ENSG00000180596	HIST1H2BC
5	12	8	12	3	7	1	0	2	2	0	3	ENSG00000129951	PLPPR3
2	1	3	0	3	5	0	0	0	0	0	0	ENSG00000256292	LINC02376
53	44	23	60	54	45	13	2	12	10	8	6	ENSG00000155011	DKK2
1	2	2	2	3	5	0	0	0	0	0	0	ENSG00000135373	EHF
55	51	36	77	30	21	0	4	16	12	8	13	ENSG00000019582	CD74
213	448	482	633	469	687	2895	3443	2765	2095	2115	2309	ENSG00000111206	FOXM1
0	4	3	2	2	9	5	8	10	12	38	13	ENSG00000176928	GCNT4
176	483	573	320	492	756	32	127	75	12	73	41	ENSG00000113389	NPR3
15	5	7	14	12	6	0	1	0	1	1	7	ENSG00000230882	AC005077.4
12	9	13	13	12	11	14	16	6	123	151	120	ENSG00000170271	FAXDC2
29	1	4	8	0	1	0	0	0	1	1	0	ENSG00000237596	AL138828.1
7	11	8	12	20	5	0	0	0	2	3	3	ENSG00000168032	ENTPD3
2	3	10	11	2	9	1	0	0	0	2	0	ENSG00000271344	AC018638.6
16	18	20	14	18	12	2	2	1	8	7	2	ENSG00000203780	FANK1
33	14	25	14	25	37	1	0	1	0	0	0	ENSG00000186847	KRT14
669	198	602	647	112	402	39	41	34	133	77	77	ENSG00000119938	PPP1R3C
3	1	0	2	1	0	6	3	0	14	10	10	ENSG00000167371	PRRT2
319	561	459	1759	538	1306	5642	7203	3400	2824	3379	2652	ENSG00000148773	MKI67
72	35	82	80	36	97	5	7	0	10	3	2	ENSG00000163995	ABLIM2
6	11	6	16	4	8	3	3	3	3	0	0	ENSG00000205835	GMNC
77	48	23	118	52	52	10	0	13	10	3	9	ENSG00000104237	RP1
1	2	3	1	3	2	16	5	21	15	12	6	ENSG00000151364	KCTD14
41	18	47	29	34	41	2	21	2	0	5	0	ENSG00000248869	LINC02511
46	29	44	53	22	12	17	21	9	402	351	334	ENSG00000167676	PLIN4
23	27	40	17	37	20	2	7	1	0	1	0	ENSG00000226835	AC097059.1
760	1420	1346	1518	2322	2047	149	237	230	462	452	653	ENSG00000079931	MOXD1
2	3	8	3	1	2	0	0	0	0	0	0	ENSG00000270490	AC110048.1
6	7	12	12	18	7	0	1	6	0	4	4	ENSG00000282034	AC106886.5
37	5	11	41	4	4	152	28	94	93	34	56	ENSG00000128918	ALDH1A2
3	1	3	3	2	2	0	0	0	0	1	0	ENSG00000271784	AL031055.1
147	281	281	403	402	371	1616	2225	2236	830	775	855	ENSG00000134690	CDCA8
21	23	41	45	34	31	3	0	2	0	9	1	ENSG00000174325	DIRC1
132	199	256	366	217	315	1612	1819	1628	559	550	633	ENSG00000121152	NCAPH
4	3	7	4	5	1	0	0	0	1	0	1	ENSG00000181126	HLA-V
8	10	7	15	17	16	1	1	1	2	3	6	ENSG00000236045	AL031283.3
1	1	2	1	1	1	12	8	14	0	3	2	ENSG00000251235	SNRPCP2
4	0	5	2	10	0	0	0	0	0	0	0	ENSG00000157766	ACAN
0	0	2	0	0	0	1	8	2	3	12	10	ENSG00000269837	IPO5P1
15	3	4	12	8	1	0	0	0	3	0	1	ENSG00000180730	SHISA2
55	143	89	101	179	136	19	16	45	22	34	48	ENSG00000171346	KRT15
23	26	9	30	52	11	5	0	2	4	3	1	ENSG00000251281	AC034223.2
81	35	67	72	35	48	22	10	10	12	11	4	ENSG00000140022	STON2
1800	1172	1439	955	568	775	158	69	151	102	19	59	ENSG00000106484	MEST
62	10	52	174	56	879	75	9	1	16	12	2	ENSG00000115457	IGFBP2
26	19	17	10	24	28	6	5	4	2	7	0	ENSG00000256128	LINC00944
17	9	5	15	7	6	18	20	13	111	94	134	ENSG00000165879	FRAT1
21	14	3	17	15	6	1	0	5	3	0	2	ENSG00000204287	HLA-DRA
2	1	10	8	4	3	2	2	0	0	0	1	ENSG00000231776	LINC01611
0	1	0	0	0	1	0	7	7	4	4	2	ENSG00000163357	DCST1
9	3	4	9	5	2	0	0	0	1	1	1	ENSG00000217801	AL390719.1
6	5	11	1	1	4	3	5	6	65	75	60	ENSG00000204851	PNMA8B
13	4	6	19	6	19	0	1	0	1	0	0	ENSG00000124731	TREM1
4	5	1	0	3	7	0	0	0	0	0	0	ENSG00000173626	TRAPPC3L
28	31	23	15	54	25	4	1	8	8	9	10	ENSG00000187642	PERM1
355	220	229	323	119	210	51	46	32	92	42	50	ENSG00000184156	KCNQ3
3	6	12	12	4	21	6	37	20	58	122	93	ENSG00000170214	ADRA1B
14	2	4	48	8	22	2	3	6	2	0	2	ENSG00000106278	PTPRZ1
1	0	0	3	0	0	9	4	4	10	2	3	ENSG00000186310	NAP1L3
30	32	24	54	32	15	14	4	7	11	4	6	ENSG00000135951	TSGA10
7	9	10	7	9	16	26	21	8	76	72	99	ENSG00000136274	NACAD
9	13	11	22	12	10	79	101	101	36	40	39	ENSG00000171791	BCL2
141	603	459	243	534	575	22	184	81	32	196	103	ENSG00000169851	PCDH7
9	8	4	17	135	146	14	7	26	5	7	10	ENSG00000205670	SMIM11A
0	1	0	0	1	0	7	12	5	3	7	2	ENSG00000183850	ZNF730
17	11	17	9	7	24	6	2	5	6	1	0	ENSG00000205129	C4orf47
632	280	347	637	223	352	76	21	16	66	15	28	ENSG00000152402	GUCY1A2
117	46	75	125	50	63	10	4	20	35	16	19	ENSG00000137393	RNF144B
6	2	6	5	3	2	35	18	37	15	14	19	ENSG00000170962	PDGFD
211	158	90	227	145	86	50	10	37	46	17	63	ENSG00000154310	TNIK
1	2	1	2	0	0	1	6	2	9	14	5	ENSG00000139200	PIANP
69	15	48	33	23	26	4	4	5	2	3	5	ENSG00000134548	SPX
23	12	11	92	9	21	0	0	0	0	0	0	ENSG00000211895	IGHA1
10	5	11	4	5	7	6	1	2	0	1	0	ENSG00000205830	AC024132.1
1090	711	1108	493	234	524	37	50	26	12	11	9	ENSG00000128510	CPA4
1	1	0	3	2	1	15	15	19	14	21	18	ENSG00000100473	COCH
351	723	812	1150	1308	1201	5413	6323	6227	2908	2639	2736	ENSG00000089685	BIRC5
14	12	8	30	23	22	0	1	0	2	0	0	ENSG00000242808	SOX2-OT
9	10	8	36	21	17	82	47	39	96	79	86	ENSG00000117676	RPS6KA1
2	0	2	2	2	0	5	11	8	6	14	0	ENSG00000143845	ETNK2
3	2	5	4	8	2	0	0	2	0	0	0	ENSG00000254560	BBOX1-AS1
1398	468	803	94	43	127	3964	3800	5922	787	673	568	ENSG00000130203	APOE
19	37	6	36	40	28	0	0	0	3	5	0	ENSG00000082293	COL19A1
20	19	21	8	4	26	2	2	5	2	9	1	ENSG00000129910	CDH15
12	3	11	2	6	7	0	0	0	0	1	3	ENSG00000189238	LINC00943
254	195	235	296	290	213	5	0	12	11	11	4	ENSG00000152463	OLAH
4	2	3	2	0	0	23	54	31	82	243	26	ENSG00000196616	ADH1B
94	169	202	315	178	323	1529	1758	1506	598	651	658	ENSG00000186185	KIF18B
145	276	242	157	200	212	30	29	118	9	17	28	ENSG00000166396	SERPINB7
10	32	77	2	14	34	146	169	60	237	437	172	ENSG00000007237	GAS7
5	6	3	5	5	6	0	2	0	0	4	0	ENSG00000198829	SUCNR1
6	18	11	4	63	19	0	3	6	1	10	10	ENSG00000118849	RARRES1
20	8	8	16	3	11	26	12	26	117	42	63	ENSG00000139266	MARCH9
2	6	9	3	7	4	13	53	15	15	62	37	ENSG00000064655	EYA2
0	0	0	0	0	0	1	10	3	7	1	5	ENSG00000164684	ZNF704
29	7	25	36	7	22	0	2	1	10	6	6	ENSG00000232973	CYP1B1-AS1
189	400	440	830	770	811	3700	4162	3865	1738	1814	1622	ENSG00000113368	LMNB1
