AD_T3_T5_1	AD_T3_T5_2	AD_T3_T5_3	AD_T3_T5_4	AD_T3_T5_5	AD_T3_T5_6	AD_T8_1	AD_T8_2	AD_T8_3	gene_id	gene
78	46	124	161	137	360	5	34	19	ENSG00000100842	EFS
126	116	40	218	180	71	26	3	24	ENSG00000283787	AC051649.2
40	27	37	19	15	15	4	6	8	ENSG00000268942	CKS1BP3
0	2	1	3	1	1	6	7	9	ENSG00000257556	LINC02298
161	201	155	116	228	225	34	28	34	ENSG00000160447	PKN3
14	21	12	20	40	18	1	1	2	ENSG00000177679	SRRM3
3	1	0	25	58	20	0	1	0	ENSG00000255690	TRIL
7	13	5	10	11	17	3	0	3	ENSG00000108387	SEPT4
7	5	2	13	17	12	0	2	1	ENSG00000129521	EGLN3
15	31	34	31	29	31	86	99	171	ENSG00000008517	IL32
19	19	10	71	58	97	7	8	14	ENSG00000250041	AC069360.1
5	8	2	5	6	2	0	0	0	ENSG00000275092	AL031710.2
7	9	1	7	3	4	12	27	22	ENSG00000118407	FILIP1
42	25	35	139	115	94	4	23	19	ENSG00000139946	PELI2
7	5	6	21	9	26	2	0	2	ENSG00000125931	CITED1
0	8	1	1	2	2	29	13	54	ENSG00000182261	NLRP10
0	2	0	0	0	0	11	12	23	ENSG00000046889	PREX2
17	6	19	8	5	2	25	68	37	ENSG00000137033	IL33
3	1	0	0	2	1	16	7	7	ENSG00000169442	CD52
12	31	19	5	1	4	83	48	102	ENSG00000187094	CCK
60	13	19	77	9	43	12	8	2	ENSG00000142494	SLC47A1
5	7	13	44	24	57	2	7	4	ENSG00000121898	CPXM2
48	88	50	897	1604	1020	45	27	71	ENSG00000183134	PTGDR2
599	742	782	209	159	191	87	151	81	ENSG00000152253	SPC25
1	3	1	1	1	4	7	8	10	ENSG00000235008	AL023775.1
35	26	39	40	12	32	10	6	5	ENSG00000166689	PLEKHA7
1	8	2	3	5	7	14	14	23	ENSG00000120051	CFAP58
14	2	9	72	22	97	6	7	0	ENSG00000171724	VAT1L
1	1	0	0	0	0	9	7	5	ENSG00000250072	SH3TC2-DT
6	12	8	4	4	5	24	53	38	ENSG00000142661	MYOM3
3	3	11	9	6	6	0	1	0	ENSG00000278272	HIST1H3C
20	16	12	10	9	14	4	3	2	ENSG00000268403	AC132192.2
2	5	8	0	11	10	37	62	49	ENSG00000116833	NR5A2
153	577	193	102	933	440	460	1134	3448	ENSG00000137801	THBS1
672	692	796	371	275	339	129	155	81	ENSG00000100162	CENPM
22	28	7	15	6	5	221	49	66	ENSG00000232855	AF165147.1
9	3	8	84	78	100	11	6	3	ENSG00000165821	SALL2
4	9	9	35	35	47	5	5	2	ENSG00000183496	MEX3B
15	11	20	8	11	18	0	6	3	ENSG00000185610	DBX2
3196	3606	3123	1541	1334	1454	533	493	324	ENSG00000112984	KIF20A
21	9	8	16	7	10	1	1	0	ENSG00000178498	DTX3
1	2	1	24	11	7	0	0	0	ENSG00000082497	SERTAD4
26	12	10	43	26	34	10	5	2	ENSG00000133937	GSC
16	25	5	14	21	4	54	70	72	ENSG00000163491	NEK10
2	0	1	1	0	0	7	11	10	ENSG00000182389	CACNB4
0	0	0	0	1	0	7	6	8	ENSG00000172137	CALB2
6	24	9	10	7	1	45	21	62	ENSG00000180535	BHLHA15
0	0	0	0	0	0	10	4	16	ENSG00000157542	KCNJ6
2	0	0	2	0	0	5	12	7	ENSG00000173077	DEC1
738	1043	962	468	448	388	162	193	122	ENSG00000100526	CDKN3
0	0	1	2	3	0	28	45	33	ENSG00000259721	AC090877.2
7227	8497	8215	2777	2555	2955	1239	1300	1015	ENSG00000117399	CDC20
30	48	23	9	17	24	6	1	9	ENSG00000214357	NEURL1B
20	11	5	37	19	24	2	3	0	ENSG00000142149	HUNK
0	0	1	4	1	4	23	14	7	ENSG00000258791	LINC00520
1	0	5	2	0	12	29	67	23	ENSG00000110203	FOLR3
10	19	40	8	4	12	100	72	37	ENSG00000170396	ZNF804A
57	76	239	14	12	32	348	868	303	ENSG00000197632	SERPINB2
3	4	4	7	5	11	45	23	34	ENSG00000083454	P2RX5
7	6	8	30	13	21	59	44	73	ENSG00000180596	HIST1H2BC
13	2	12	10	8	6	59	28	30	ENSG00000155011	DKK2
0	4	16	12	8	13	67	63	20	ENSG00000019582	CD74
2895	3443	2765	2095	2115	2309	629	694	479	ENSG00000111206	FOXM1
32	127	75	12	73	41	82	255	414	ENSG00000113389	NPR3
27	3	12	27	18	24	115	73	56	ENSG00000018236	CNTN1
5	1	9	8	10	11	0	0	1	ENSG00000224046	AC005076.1
2	2	1	1	2	1	6	6	10	ENSG00000265478	AC107982.3
8	11	9	6	6	6	2	0	1	ENSG00000233654	AC108047.1
1	0	1	0	0	0	16	8	7	ENSG00000186847	KRT14
39	41	34	133	77	77	390	195	327	ENSG00000119938	PPP1R3C
5	7	0	10	3	2	43	10	46	ENSG00000163995	ABLIM2
10	0	13	10	3	9	41	32	17	ENSG00000104237	RP1
16	5	21	15	12	6	1	0	4	ENSG00000151364	KCTD14
2	21	2	0	5	0	28	30	56	ENSG00000248869	LINC02511
0	2	1	3	6	2	6	10	18	ENSG00000204556	AL450124.1
0	15	9	3	11	6	23	45	34	ENSG00000152910	CNTNAP4
158	69	151	102	19	59	1028	739	539	ENSG00000106484	MEST
19	18	21	22	19	16	5	1	6	ENSG00000260007	AC107871.1
7	1	0	1	2	1	26	5	9	ENSG00000215915	ATAD3C
4	1	8	8	9	10	24	33	21	ENSG00000187642	PERM1
14	13	23	18	21	23	3	8	1	ENSG00000270419	CAHM
6	37	20	58	122	93	5	6	15	ENSG00000170214	ADRA1B
2	3	6	2	0	2	38	13	19	ENSG00000106278	PTPRZ1
26	21	8	76	72	99	5	8	10	ENSG00000136274	NACAD
7	12	5	3	7	2	1	0	0	ENSG00000183850	ZNF730
6	10	14	20	13	12	3	3	2	ENSG00000224945	AL353150.1
463	553	692	349	312	319	101	122	73	ENSG00000203760	CENPW
76	21	16	66	15	28	305	203	296	ENSG00000152402	GUCY1A2
10	4	20	35	16	19	103	75	55	ENSG00000137393	RNF144B
4	4	5	2	3	5	20	13	17	ENSG00000134548	SPX
37	50	26	12	11	9	394	219	328	ENSG00000128510	CPA4
15	15	19	14	21	18	1	2	1	ENSG00000100473	COCH
5413	6323	6227	2908	2639	2736	940	1092	703	ENSG00000089685	BIRC5
82	47	39	96	79	86	29	7	12	ENSG00000117676	RPS6KA1
10	28	12	8	19	23	1	7	3	ENSG00000150054	MPP7
14	12	60	7	8	28	1	6	3	ENSG00000197977	ELOVL2
2	2	5	2	9	1	17	14	15	ENSG00000129910	CDH15
0	0	0	0	1	3	6	6	9	ENSG00000189238	LINC00943
13	18	11	28	38	21	3	3	3	ENSG00000234779	BNC2-AS1
5	0	12	11	11	4	59	21	42	ENSG00000152463	OLAH
23	54	31	82	243	26	3	10	9	ENSG00000196616	ADH1B
4	0	4	3	1	0	10	19	10	ENSG00000279484	KLHL30-AS1
7	5	3	1	1	1	17	19	7	ENSG00000112379	ARFGEF3
3	5	10	0	3	8	53	12	8	ENSG00000169252	ADRB2
0	0	0	0	4	2	3	19	18	ENSG00000181634	TNFSF15
3	6	4	0	2	2	17	40	29	ENSG00000100867	DHRS2
0	1	1	3	0	1	11	8	6	ENSG00000241956	AC109466.1
3	2	4	6	5	2	0	0	0	ENSG00000111049	MYF5
6	18	8	9	10	6	2	0	1	ENSG00000166762	CATSPER2
4	1	11	1	1	1	19	29	18	ENSG00000171658	NMRAL2P
9	7	7	15	2	22	77	46	17	ENSG00000250697	AC010343.3
23	12	9	65	47	85	0	7	2	ENSG00000128602	SMO
6	14	2	3	16	5	0	0	1	ENSG00000167191	GPRC5B
636	749	596	218	205	228	75	85	67	ENSG00000186193	SAPCD2
43	38	37	45	25	29	1	6	15	ENSG00000065717	TLE2
63	154	100	15	37	20	233	289	336	ENSG00000138347	MYPN
168	166	241	56	29	49	649	573	498	ENSG00000153162	BMP6
5	3	3	3	6	1	30	6	8	ENSG00000167080	B4GALNT2
16	40	17	3	19	12	31	109	127	ENSG00000198796	ALPK2
3	7	5	4	8	4	1	0	0	ENSG00000149294	NCAM1
7	11	5	7	5	6	36	30	42	ENSG00000140459	CYP11A1
4	1	5	4	1	5	33	73	44	ENSG00000260454	AL355607.2
4	4	4	37	16	11	1	3	0	ENSG00000137463	MGARP
2	3	1	3	2	15	0	0	0	ENSG00000269226	TMSB15B
28	8	15	121	133	109	10	3	2	ENSG00000165269	AQP7
154	192	189	105	119	108	430	1234	1168	ENSG00000058085	LAMC2
3	3	6	6	3	1	0	0	0	ENSG00000277050	AL122125.1
0	5	11	1	1	7	32	78	36	ENSG00000221852	KRTAP1-5
28	24	16	24	41	35	161	117	140	ENSG00000240476	LINC00973
5703	6669	6361	2130	2097	2373	884	1160	775	ENSG00000166851	PLK1
2	0	0	2	2	1	157	2	8	ENSG00000164418	GRIK2
0	1	2	1	0	3	8	17	10	ENSG00000197506	SLC28A3
4	1	0	6	8	2	116	9	24	ENSG00000183421	RIPK4
27	19	21	15	7	9	96	81	106	ENSG00000162981	FAM84A
228	52	18	183	7	126	20	14	13	ENSG00000205572	SERF1B
683	669	729	399	274	265	130	116	102	ENSG00000166803	PCLAF
186	78	120	1072	556	1054	129	122	57	ENSG00000159164	SV2A
73	134	80	46	79	44	210	270	460	ENSG00000114771	AADAC
10	9	11	12	32	20	6	4	0	ENSG00000184292	TACSTD2
6	7	2	39	36	37	4	2	3	ENSG00000146411	SLC2A12
1	11	7	1	5	5	115	136	129	ENSG00000212724	KRTAP2-3
14	13	4	13	16	20	3	2	3	ENSG00000280152	AC009078.3
7	27	104	19	18	64	194	563	194	ENSG00000131737	KRT34
17	9	9	14	3	4	44	68	69	ENSG00000172061	LRRC15
2	2	1	0	3	0	4	5	25	ENSG00000179603	GRM8
0	3	0	0	5	5	20	7	27	ENSG00000166510	CCDC68
54	74	78	41	46	55	9	19	11	ENSG00000175183	CSRP2
28	24	28	100	110	94	9	10	13	ENSG00000108984	MAP2K6
3	8	10	5	8	13	0	1	1	ENSG00000275437	AL121832.3
0	0	1	0	2	0	10	5	10	ENSG00000230257	NFE4
15	20	14	14	12	5	40	70	59	ENSG00000136167	LCP1
11	11	23	16	10	11	104	72	60	ENSG00000236453	AC003092.1
5	32	28	41	126	134	2053	3601	2679	ENSG00000166923	GREM1
9	1	1	9	7	13	0	1	0	ENSG00000138449	SLC40A1
62	19	24	30	34	29	366	651	505	ENSG00000139364	TMEM132B
9	9	6	19	24	10	0	2	4	ENSG00000166908	PIP4K2C
38	45	38	169	217	57	1	7	18	ENSG00000169418	NPR1
7	2	2	3	2	0	66	20	17	ENSG00000116745	RPE65
38	9	22	87	50	70	10	7	5	ENSG00000182580	EPHB3
91	114	92	128	166	100	671	496	640	ENSG00000157064	NMNAT2
20	20	19	178	189	196	7	10	12	ENSG00000182175	RGMA
5	1	3	5	7	10	0	0	0	ENSG00000166448	TMEM130
21	22	20	83	64	66	64	386	257	ENSG00000236675	MTX1P1
7	4	5	14	7	1	0	1	0	ENSG00000236901	MIR600HG
0	2	2	4	0	0	32	17	10	ENSG00000167642	SPINT2
6	1	8	10	3	1	125	35	30	ENSG00000182585	EPGN
2	5	2	0	3	0	9	16	19	ENSG00000276107	AC037198.1
19	34	33	69	40	60	594	230	267	ENSG00000128342	LIF
5	10	10	14	9	11	185	71	112	ENSG00000167641	PPP1R14A
26	42	14	128	178	67	478	271	719	ENSG00000125089	SH3TC1
0	0	2	1	0	5	16	23	4	ENSG00000235385	LINC02154
5	1	2	22	12	10	0	1	0	ENSG00000108947	EFNB3
51	61	54	38	23	22	5	13	12	ENSG00000156509	FBXO43
10	2	7	2	6	9	26	36	22	ENSG00000251003	ZFPM2-AS1
8	29	16	7	6	11	1	1	1	ENSG00000126822	PLEKHG3
2760	2959	3376	1752	1341	1647	536	570	413	ENSG00000176890	TYMS
45	44	53	77	70	94	6	16	19	ENSG00000128045	RASL11B
4	4	2	16	9	23	66	37	44	ENSG00000146352	CLVS2
58	122	51	19	26	10	149	144	261	ENSG00000248698	LINC01085
25	16	30	5	9	6	2	3	4	ENSG00000126860	EVI2A
9	8	14	6	12	8	2	1	2	ENSG00000241697	TMEFF1
12	21	23	7	6	6	64	30	52	ENSG00000107518	ATRNL1
17	3	7	6	1	1	14	41	28	ENSG00000137975	CLCA2
133	139	237	88	134	181	1995	1612	1495	ENSG00000124882	EREG
4	4	5	6	2	1	28	76	73	ENSG00000125675	GRIA3
5	7	15	9	17	19	54	102	113	ENSG00000096696	DSP
40	33	17	52	28	19	240	157	379	ENSG00000164176	EDIL3
41	39	17	30	31	26	5	2	11	ENSG00000237424	FOXD2-AS1
6	10	3	0	6	2	28	69	106	ENSG00000092345	DAZL
