gene_id	gene	log2FoldChange	padj	stat
ENSG00000155792	DEPTOR	2.0756	0.0035	up
ENSG00000218890	NUFIP1P	-0.7974	0.6782	None
ENSG00000101146	RAE1	-0.6619	0	None
ENSG00000105053	VRK3	0.1477	0.49	None
ENSG00000121671	CRY2	0.4379	0.0272	None
ENSG00000100577	GSTZ1	0.8035	7e-4	None
ENSG00000213963	AC019080.1	0.7081	0.45	None
ENSG00000078114	NEBL	-1.9003	0	None
ENSG00000181852	RNF41	0.4168	0.0054	None
ENSG00000167553	TUBA1C	-0.7498	0	None
ENSG00000082258	CCNT2	-0.3997	0.1938	None
ENSG00000116062	MSH6	-1.0744	0	None
ENSG00000263235	AC006111.2	-0.7049	0.7717	None
ENSG00000186577	SMIM29	-0.0797	0.8161	None
ENSG00000197943	PLCG2	-1.0286	0.6619	None
ENSG00000154222	CC2D1B	-0.1405	0.5783	None
ENSG00000047315	POLR2B	-0.0449	0.8277	None
ENSG00000186281	GPAT2	-1.531	0	None
ENSG00000215866	LINC01356	1.5255	0.2828	None
ENSG00000115159	GPD2	-0.3834	0.0331	None
ENSG00000162636	FAM102B	-1.4108	0	None
ENSG00000044115	CTNNA1	0.5486	1e-4	None
ENSG00000212694	LINC01089	-0.017	0.9897	None
ENSG00000088766	CRLS1	-0.0789	0.7666	None
ENSG00000143457	GOLPH3L	-0.0934	0.7195	None
ENSG00000132612	VPS4A	0.2004	0.2348	None
ENSG00000163481	RNF25	0.0101	0.9731	None
ENSG00000145868	FBXO38	0.281	0.1499	None
ENSG00000070669	ASNS	2.0368	0.0286	up
ENSG00000219451	RPL23P8	-0.0688	0.9664	None
ENSG00000198899	MT-ATP6	0.2868	0.0336	None
ENSG00000178585	CTNNBIP1	-0.014	0.9684	None
ENSG00000257773	ST13P3	0.2844	0.8499	None
ENSG00000077312	SNRPA	-0.9829	0	None
ENSG00000132275	RRP8	-0.4347	0.0784	None
ENSG00000204160	ZDHHC18	-0.4252	0.0095	None
ENSG00000115310	RTN4	0.5997	0	None
ENSG00000119669	IRF2BPL	0.4894	0.0149	None
ENSG00000186063	AIDA	0.2236	0.1433	None
ENSG00000180376	CCDC66	-0.8924	0.0036	None
ENSG00000010319	SEMA3G	-3.4098	2e-4	down
ENSG00000074356	NCBP3	-0.4447	0.0056	None
ENSG00000007384	RHBDF1	0.6407	0	None
ENSG00000145861	C1QTNF2	-3.1786	1e-4	down
ENSG00000129559	NEDD8	0.3211	0.1256	None
ENSG00000254893	AC113404.3	0.1216	0.8913	None
ENSG00000256683	ZNF350	0.2908	0.5766	None
ENSG00000267575	AC006504.5	-0.232	0.5766	None
ENSG00000041353	RAB27B	4.8527	0	up
ENSG00000148229	POLE3	-0.9921	0	None
ENSG00000143545	RAB13	0.2966	0.0859	None
ENSG00000092470	WDR76	-2.2056	0	down
ENSG00000119688	ABCD4	-0.1248	0.667	None
ENSG00000149328	GLB1L2	1.2758	0.0398	None
ENSG00000204291	COL15A1	-3.3707	0	down
ENSG00000170989	S1PR1	0.0069	0.9968	None
ENSG00000108381	ASPA	-0.7558	0.2958	None
ENSG00000182118	FAM89A	-0.3779	0.3934	None
ENSG00000139168	ZCRB1	0.3241	0.0618	None
ENSG00000212864	RNF208	0.2111	0.9007	None
ENSG00000124164	VAPB	-0.1386	0.4126	None
ENSG00000198939	ZFP2	2.2154	0.3202	None
ENSG00000278311	GGNBP2	-0.0021	0.994	None
ENSG00000166974	MAPRE2	0.1506	0.4485	None
ENSG00000140650	PMM2	0.3379	0.0595	None
ENSG00000130856	ZNF236	-0.5931	0.0496	None
ENSG00000162704	ARPC5	0.0672	0.7396	None
ENSG00000175305	CCNE2	-2.0929	0	down
ENSG00000273391	AC083880.1	-0.1243	0.9442	None
ENSG00000196810	CTBP1-AS2	0.0789	0.8262	None
ENSG00000204764	RANBP17	0.5477	0.351	None
ENSG00000107566	ERLIN1	-0.9488	0	None
ENSG00000136982	DSCC1	-1.3621	0	None
ENSG00000145919	BOD1	-0.4884	0.0023	None
ENSG00000184792	OSBP2	0.6963	0.0044	None
ENSG00000151746	BICD1	-0.3295	0.2265	None
ENSG00000065613	SLK	-0.731	1e-4	None
ENSG00000163125	RPRD2	-0.0863	0.743	None
ENSG00000178665	ZNF713	0.3843	0.8151	None
ENSG00000168646	AXIN2	-0.6566	0.4016	None
ENSG00000014914	MTMR11	0.1308	0.7396	None
ENSG00000225648	SBDSP1	-0.3875	0.0644	None
ENSG00000113391	FAM172A	-0.1042	0.7062	None
ENSG00000229018	PMS2P7	0.0812	0.9804	None
ENSG00000066135	KDM4A	0.4473	0.0312	None
ENSG00000152078	TMEM56	-1.7934	0.0464	None
ENSG00000151718	WWC2	-0.1873	0.3988	None
ENSG00000186594	MIR22HG	0.6719	1e-4	None
ENSG00000069849	ATP1B3	-0.1956	0.2192	None
ENSG00000141569	TRIM65	-0.1428	0.5454	None
ENSG00000135476	ESPL1	-1.9468	0	None
ENSG00000198380	GFPT1	1.0101	0	None
ENSG00000011143	MKS1	-0.6859	0.0098	None
ENSG00000152904	GGPS1	0.3923	0.1047	None
ENSG00000115762	PLEKHB2	0.6066	0	None
ENSG00000164035	EMCN	2.9776	0.1835	None
ENSG00000129595	EPB41L4A	-1.1311	0.5072	None
ENSG00000254409	AC087521.3	2.537	0.1827	None
ENSG00000248636	AC002070.1	1.3579	0.3953	None
ENSG00000136098	NEK3	-0.6232	0.0582	None
ENSG00000257043	AP006296.1	-1.2484	0.3361	None
ENSG00000040933	INPP4A	0.2045	0.3581	None
ENSG00000223886	AC073073.1	0.4611	0.81	None
ENSG00000266145	RHOT1P1	-1.2186	0.6355	None
ENSG00000115944	COX7A2L	0.344	0.0265	None
ENSG00000115266	APC2	2.1803	0	up
ENSG00000164896	FASTK	-0.1836	0.3012	None
ENSG00000278845	MRPL45	-0.0644	0.7951	None
ENSG00000004864	SLC25A13	-0.5469	0.0014	None
ENSG00000151846	PABPC3	0.1058	0.9081	None
ENSG00000139613	SMARCC2	-0.311	0.0639	None
ENSG00000047188	YTHDC2	-0.27	0.3491	None
ENSG00000092421	SEMA6A	0.1228	0.9544	None
ENSG00000198797	BRINP2	-2.6644	0.0024	down
ENSG00000187266	EPOR	0.34	0.4273	None
ENSG00000113580	NR3C1	-0.877	0	None
ENSG00000111652	COPS7A	0.0597	0.7628	None
ENSG00000158864	NDUFS2	0.2551	0.1546	None
ENSG00000232004	CAP1P2	0.6335	0.1878	None
ENSG00000168268	NT5DC2	-0.1189	0.567	None
ENSG00000166710	B2M	0.4648	0.0043	None
ENSG00000078142	PIK3C3	0.7444	3e-4	None
ENSG00000048740	CELF2	-1.0229	0.0016	None
ENSG00000273024	INTS4P2	0.3371	0.8812	None
ENSG00000164066	INTU	-0.4389	0.2928	None
ENSG00000226174	TEX22	0.9534	0.5269	None
ENSG00000139874	SSTR1	1.4895	0.5341	None
ENSG00000152049	KCNE4	0.0648	0.9538	None
ENSG00000267244	AC012615.6	0.0972	0.9518	None
ENSG00000232679	LINC01705	2.6801	0.0014	up
ENSG00000231925	TAPBP	1.1631	0	None
ENSG00000131378	RFTN1	0.1225	0.5257	None
ENSG00000119714	GPR68	1.8382	0	None
ENSG00000133740	E2F5	0.3337	0.57	None
ENSG00000165655	ZNF503	-0.1241	0.4906	None
ENSG00000125875	TBC1D20	0.6777	0	None
ENSG00000236540	AC006547.1	0.44	0.3969	None
ENSG00000101439	CST3	0.1834	0.2259	None
ENSG00000163521	GLB1L	0.0991	0.8257	None
ENSG00000135090	TAOK3	0.1027	0.6576	None
ENSG00000091831	ESR1	1.9275	0.1065	None
ENSG00000233559	LINC00513	0.7057	0.2766	None
ENSG00000181781	ODF3L2	3.0747	0.1644	None
ENSG00000164932	CTHRC1	-0.517	0.5636	None
ENSG00000158352	SHROOM4	1.2252	0.07	None
ENSG00000203722	RAET1G	0.8353	0.4006	None
ENSG00000138434	SSFA2	-0.1434	0.4569	None
ENSG00000172531	PPP1CA	-0.2888	0.1624	None
ENSG00000166321	NUDT13	0.423	0.5537	None
ENSG00000165891	E2F7	-1.4836	0	None
ENSG00000124588	NQO2	-0.2074	0.8379	None
ENSG00000076258	FMO4	-0.589	0.6442	None
ENSG00000235609	AF127577.4	1.8121	0.0076	None
ENSG00000253187	HOXA10-AS	-0.1251	0.9305	None
ENSG00000103855	CD276	0.2838	0.0833	None
ENSG00000157350	ST3GAL2	0.0069	0.9831	None
ENSG00000176986	SEC24C	0.5971	0	None
ENSG00000197329	PELI1	0.1541	0.7685	None
ENSG00000144824	PHLDB2	-0.2746	0.1866	None
ENSG00000126107	HECTD3	0.3776	0.0086	None
ENSG00000197312	DDI2	-0.6357	0.0127	None
ENSG00000172575	RASGRP1	0.0095	0.9971	None
ENSG00000083099	LYRM2	-0.197	0.2618	None
ENSG00000279227	AC009303.4	0.4482	0.6619	None
ENSG00000180611	MB21D2	-0.283	0.3484	None
ENSG00000129472	RAB2B	0.3857	0.1021	None
ENSG00000242071	RPL7AP6	-0.1291	0.6718	None
ENSG00000135845	PIGC	-0.5099	0.0193	None
ENSG00000277972	CISD3	-0.3833	0.0287	None
ENSG00000125319	C17orf53	-1.1384	0	None
ENSG00000244694	PTCHD4	-0.4047	0.6868	None
ENSG00000161526	SAP30BP	-0.1681	0.3625	None
ENSG00000165209	STRBP	-1.419	0.002	None
ENSG00000101255	TRIB3	1.3	0	None
ENSG00000116120	FARSB	-0.3278	0.0231	None
ENSG00000171735	CAMTA1	-0.3059	0.1946	None
ENSG00000238078	LINC01352	3.9628	2e-4	up
ENSG00000078618	NRDC	0.3743	0.0035	None
ENSG00000266904	LINC00663	2.0644	0.0202	up
ENSG00000215256	DHRS4-AS1	-0.0293	0.9415	None
ENSG00000228451	SDAD1P1	1.5809	0.1772	None
ENSG00000278530	CHMP1B2P	-0.0359	0.9773	None
ENSG00000125531	FNDC11	1.3604	0.4497	None
ENSG00000107262	BAG1	-0.691	0	None
ENSG00000089060	SLC8B1	0.8997	1e-4	None
ENSG00000255197	AC090559.1	-0.1008	0.9346	None
ENSG00000112996	MRPS30	-0.6402	0	None
ENSG00000155085	AK9	-0.0829	0.9296	None
ENSG00000164296	TIGD6	0.6946	0.034	None
ENSG00000237945	LINC00649	0.5531	0.4201	None
ENSG00000196611	MMP1	3.9484	0	up
ENSG00000198715	GLMP	0.96	0	None
ENSG00000180011	ZADH2	-0.0879	0.6807	None
ENSG00000163882	POLR2H	-0.26	0.1596	None
ENSG00000129353	SLC44A2	0.4864	0.0104	None
ENSG00000272333	KMT2B	-0.4291	0.0386	None
ENSG00000135776	ABCB10	-0.9281	0	None
ENSG00000198860	TSEN15	-0.7482	0	None
ENSG00000165792	METTL17	-0.7881	0	None
ENSG00000187546	AGMO	2.2664	0	up
ENSG00000076356	PLXNA2	0.4099	0.7083	None
ENSG00000139697	SBNO1	-0.3176	0.2294	None
ENSG00000204120	GIGYF2	0.0869	0.7108	None
ENSG00000140511	HAPLN3	0.8006	0.2838	None
ENSG00000180901	KCTD2	-0.2626	0.1373	None
ENSG00000184857	TMEM186	-0.3417	0.2773	None
ENSG00000138207	RBP4	-0.1383	0.8131	None
ENSG00000206838	SNORA5A	1.233	0.4813	None
ENSG00000151881	TMEM267	-0.0431	0.9	None
ENSG00000205356	TECPR1	0.4801	0.007	None
ENSG00000129317	PUS7L	-0.0713	0.8512	None
ENSG00000267470	ZNF571-AS1	-0.4923	0.7203	None
ENSG00000226415	TPI1P1	0.3743	0.1499	None
ENSG00000132383	RPA1	-0.6819	0	None
ENSG00000129003	VPS13C	-0.0271	0.9567	None
ENSG00000233381	AK4P3	1.1432	0.0468	None
ENSG00000166896	ATP23	-1.2293	0.0061	None
ENSG00000091844	RGS17	-1.2168	0	None
ENSG00000247092	SNHG10	-0.4191	0.3252	None
ENSG00000111845	PAK1IP1	-0.7321	0	None
ENSG00000007944	MYLIP	0.4484	0.4498	None
ENSG00000205277	MUC12	0.9062	0.7397	None
ENSG00000272821	U62317.3	-2.5129	4e-4	down
ENSG00000197530	MIB2	0.6466	1e-4	None
ENSG00000171055	FEZ2	0.2502	0.1591	None
ENSG00000256915	AC090023.2	-1.9155	0.0283	None
ENSG00000118217	ATF6	-0.1145	0.5597	None
ENSG00000184056	VPS33B	-0.0309	0.9653	None
ENSG00000226180	AC010536.1	-1.8015	0.3504	None
ENSG00000238279	BX470102.1	-0.696	0.3569	None
ENSG00000135698	MPHOSPH6	-0.2873	0.1585	None
ENSG00000226287	TMEM191A	1.5844	5e-4	None
ENSG00000273551	AC120498.8	3.9323	0.0704	None
ENSG00000173262	SLC2A14	1.0851	0.8579	None
ENSG00000147140	NONO	-0.585	0	None
ENSG00000151239	TWF1	-0.2935	0.0967	None
ENSG00000279384	AC080188.2	-0.9734	0.6076	None
ENSG00000239467	AC007405.3	0.3839	0.6471	None
ENSG00000135114	OASL	1.5174	0.0118	None
ENSG00000204531	POU5F1	-0.6974	0.6719	None
ENSG00000087087	SRRT	-1.0727	0	None
ENSG00000164619	BMPER	0.0904	0.8151	None
ENSG00000185716	MOSMO	-0.4351	0.0175	None
ENSG00000187601	MAGEH1	-0.092	0.7895	None
ENSG00000254999	BRK1	0.7233	0	None
ENSG00000219653	GCNT1P4	1.9028	0.4027	None
ENSG00000182272	B4GALNT4	2.35	0.0046	up
ENSG00000099999	RNF215	0.8386	1e-4	None
ENSG00000278987	AL031009.1	-1.2028	0.5332	None
ENSG00000085563	ABCB1	0.7429	0.7649	None
ENSG00000161091	MFSD12	0.78	0	None
ENSG00000108518	PFN1	-0.2585	0.1641	None
ENSG00000112029	FBXO5	-2.4317	0	down
ENSG00000237499	AL357060.1	0.0957	0.9082	None
ENSG00000172967	XKR3	3.1192	0.1612	None
ENSG00000158220	ESYT3	-1.6327	0.1487	None
ENSG00000259146	AC005476.2	1.3738	0.3988	None
ENSG00000134453	RBM17	-0.9992	0	None
ENSG00000004455	AK2	-0.1348	0.4509	None
ENSG00000105136	ZNF419	1.2426	0.0039	None
ENSG00000167632	TRAPPC9	-0.3925	0.1241	None
ENSG00000151466	SCLT1	-1.6082	0	None
ENSG00000129480	DTD2	0.0992	0.71	None
ENSG00000259705	AC084757.3	0.5107	0.4793	None
ENSG00000179611	DGKZP1	-0.2715	0.229	None
ENSG00000185950	IRS2	-0.4909	0.6381	None
ENSG00000213214	ARHGEF35	0.9727	0.4777	None
ENSG00000260075	NSFP1	0.5175	0.7255	None
ENSG00000214046	SMIM7	-0.2872	0.2222	None
ENSG00000172053	QARS	0.1642	0.3001	None
ENSG00000178458	H3F3AP6	-0.262	0.6752	None
ENSG00000108759	KRT32	5.0115	0.0519	None
ENSG00000070371	CLTCL1	0.4228	0.1578	None
ENSG00000239213	NCK1-AS1	0.3476	0.5728	None
ENSG00000038945	MSR1	1.4099	0.199	None
ENSG00000158079	PTPDC1	-0.0445	0.8879	None
ENSG00000177239	MAN1B1	0.7764	0	None
ENSG00000077063	CTTNBP2	0.104	0.9358	None
ENSG00000108691	CCL2	2.7506	0	up
ENSG00000170619	COMMD5	-0.0309	0.9281	None
ENSG00000151632	AKR1C2	-0.4697	0.0228	None
ENSG00000131368	MRPS25	-0.1272	0.5113	None
ENSG00000013573	DDX11	-1.5481	0	None
ENSG00000124226	RNF114	-0.3036	0.0453	None
ENSG00000184677	ZBTB40	-0.0727	0.797	None
ENSG00000204954	C12orf73	0.2729	0.5204	None
ENSG00000134107	BHLHE40	1.0231	0	None
ENSG00000170540	ARL6IP1	-1.8089	0	None
ENSG00000146918	NCAPG2	-2.3415	0	down
ENSG00000205740	AL359878.1	-1.1362	0.5032	None
ENSG00000173918	C1QTNF1	0.8212	0	None
ENSG00000218426	AL590867.2	0.1539	0.7549	None
ENSG00000066279	ASPM	-3.6221	0	down
ENSG00000197142	ACSL5	0.8631	0.1	None
ENSG00000189077	TMEM120A	0.3257	0.101	None
ENSG00000283050	GTF2IP12	-0.124	0.9272	None
ENSG00000239306	RBM14	-1.4032	0	None
ENSG00000117697	NSL1	-1.0727	0	None
ENSG00000072163	LIMS2	0.4287	0.7363	None
ENSG00000250896	RNPS1P1	-1.0757	0.505	None
ENSG00000163064	EN1	-0.0697	0.8143	None
ENSG00000259943	AL050341.2	-1.7925	4e-4	None
ENSG00000189221	MAOA	0.4795	0.0495	None
ENSG00000106560	GIMAP2	-0.7557	0.7218	None
ENSG00000160785	SLC25A44	0.1953	0.2557	None
ENSG00000279355	AGPAT4-IT1	0.4827	0.7114	None
ENSG00000196236	XPNPEP3	0.5907	9e-4	None
ENSG00000104723	TUSC3	0.4579	0.0249	None
ENSG00000111667	USP5	0.0301	0.8955	None
ENSG00000266921	AC006213.1	0.3624	0.8791	None
ENSG00000137656	BUD13	-1.2004	0	None
ENSG00000105339	DENND3	0.2856	0.2232	None
ENSG00000104691	UBXN8	-0.2801	0.2604	None
ENSG00000259349	AC011921.1	-1.4549	0.5275	None
ENSG00000204681	GABBR1	0.1697	0.7414	None
ENSG00000131797	CLUHP3	0.218	0.8976	None
ENSG00000266835	GAPLINC	0.8808	0.2923	None
ENSG00000169991	IFFO2	-0.4517	0.0421	None
ENSG00000155304	HSPA13	-0.54990000000000006	5e-4	None
ENSG00000211454	AKR7L	-1.2502	0.4711	None
ENSG00000130475	FCHO1	2.6854	9e-4	up
ENSG00000179454	KLHL28	0.2882	0.4668	None
ENSG00000109390	NDUFC1	0.2454	0.1934	None
ENSG00000143450	OAZ3	0.7585	0.143	None
ENSG00000145536	ADAMTS16	0.3441	0.777	None
ENSG00000145349	CAMK2D	0.4061	0.0044	None
ENSG00000130962	PRRG1	0.1782	0.4519	None
ENSG00000251136	AF117829.1	0.2435	0.8089	None
ENSG00000230224	PHBP9	-0.422	0.8718	None
ENSG00000123091	RNF11	0.6826	0	None
ENSG00000196873	CBWD3	0.2564	0.7363	None
ENSG00000091527	CDV3	-0.2815	0.0376	None
ENSG00000230082	PRRT3-AS1	0.8867	0.0063	None
ENSG00000150760	DOCK1	0.0666	0.7927	None
ENSG00000198805	PNP	0.1332	0.6131	None
ENSG00000233006	MIR3936HG	3.0067	0.141	None
ENSG00000111671	SPSB2	-0.0818	0.8983	None
ENSG00000157764	BRAF	0.2096	0.4644	None
ENSG00000274026	FAM27E3	-0.4077	0.7118	None
ENSG00000115641	FHL2	0.2483	0.3855	None
ENSG00000226803	AL136311.1	-0.6449	0.7247	None
ENSG00000254615	AC027031.2	-0.8742	2e-4	None
ENSG00000132376	INPP5K	-0.2078	0.3565	None
ENSG00000253557	AC100849.1	4.6185	0.0138	up
ENSG00000248008	NRAV	-0.2997	0.2833	None
ENSG00000109220	CHIC2	-0.0125	0.9684	None
ENSG00000269486	ERVK9-11	-0.7823	0.5576	None
ENSG00000269293	ZSCAN16-AS1	0.3036	0.62	None
ENSG00000170264	FAM161A	-1.2015	0.0022	None
ENSG00000165102	HGSNAT	0.6083	0	None
ENSG00000093009	CDC45	-2.8665	0	down
ENSG00000147234	FRMPD3	0.6234	0.5807	None
ENSG00000186792	HYAL3	1.5595	0	None
ENSG00000141279	NPEPPS	0.8404	0	None
ENSG00000166770	ZNF667-AS1	0.4409	0.6372	None
ENSG00000167695	FAM57A	-0.354	0.0155	None
ENSG00000143190	POU2F1	-0.7159	0.0367	None
ENSG00000260197	AC010889.1	0.0564	0.9844	None
ENSG00000145604	SKP2	-1.3767	0	None
ENSG00000197557	TTC30A	0.5381	0.1867	None
ENSG00000182902	SLC25A18	1.1389	0.1831	None
ENSG00000167081	PBX3	-0.5758	0.0025	None
ENSG00000183578	TNFAIP8L3	-0.4948	0.0026	None
ENSG00000198818	SFT2D1	-0.1406	0.4611	None
ENSG00000143401	ANP32E	-1.5612	0	None
ENSG00000120658	ENOX1	-0.3832	0.2084	None
ENSG00000119673	ACOT2	0.0705	0.8769	None
ENSG00000188343	FAM92A	-0.3582	0.1021	None
ENSG00000087077	TRIP6	0.0286	0.9056	None
ENSG00000163026	WDCP	-0.2469	0.2561	None
ENSG00000240344	PPIL3	-0.4793	0.0528	None
ENSG00000267348	GEMIN7-AS1	1.3051	0.5744	None
ENSG00000083844	ZNF264	-0.0806	0.804	None
ENSG00000172037	LAMB2	1.4596	0	None
ENSG00000136052	SLC41A2	0.9582	3e-4	None
ENSG00000215305	VPS16	-0.0098	0.9735	None
ENSG00000144583	MARCH4	-0.207	0.8736	None
ENSG00000174628	IQCK	0.7947	0.0168	None
ENSG00000277969	AC006449.6	-1.8686	0.0484	None
ENSG00000005194	CIAPIN1	0.1336	0.4475	None
ENSG00000154127	UBASH3B	-0.5055	0.0131	None
ENSG00000155906	RMND1	0.3273	0.1541	None
ENSG00000145911	N4BP3	1.1506	0.5681	None
ENSG00000263766	AC025682.1	-0.4728	0.8533	None
ENSG00000249115	HAUS5	-1.8382	0	None
ENSG00000169710	FASN	0.6072	1e-4	None
ENSG00000182405	PGBD4	0.0357	0.957	None
ENSG00000124215	CDH26	0.8962	0.6863	None
ENSG00000277067	CU634019.1	2.0258	0.0447	up
ENSG00000240970	RPL23AP64	-0.0764	0.9773	None
ENSG00000164761	TNFRSF11B	0.1057	0.9589	None
ENSG00000146122	DAAM2	-0.3189	0.9276	None
ENSG00000147119	CHST7	0.5746	0.001	None
ENSG00000138175	ARL3	0.6	0.0062	None
ENSG00000119917	IFIT3	0.9398	0.0053	None
ENSG00000079482	OPHN1	1.5444	0	None
ENSG00000119950	MXI1	1.4058	0	None
ENSG00000205710	C17orf107	3.0963	0.0016	up
ENSG00000143633	C1orf131	-1.1574	0	None
ENSG00000065882	TBC1D1	-0.4401	0.0189	None
ENSG00000244486	SCARF2	0.3042	0.352	None
ENSG00000198131	ZNF544	0.3507	0.1586	None
ENSG00000205221	VIT	-1.7031	0	None
ENSG00000268362	AC092279.1	1.0091	0.1856	None
ENSG00000231789	PIK3CD-AS2	-1.1362	0.4885	None
ENSG00000125398	SOX9	0.6946	0.0766	None
ENSG00000168852	TPTE2P5	2.6431	0.2484	None
ENSG00000100156	SLC16A8	1.9275	0.4415	None
ENSG00000112619	PRPH2	1.3723	0.0997	None
ENSG00000094804	CDC6	-1.4602	0	None
ENSG00000168615	ADAM9	0.7286	1e-4	None
ENSG00000270959	LPP-AS2	0.492	0.3103	None
ENSG00000089154	GCN1	0.4167	0.0103	None
ENSG00000247121	AC009126.1	-0.6051	0.5825	None
ENSG00000162944	RFTN2	-1.763	0.0212	None
ENSG00000197601	FAR1	-0.6609	2e-4	None
ENSG00000139291	TMEM19	-0.9708	0	None
ENSG00000075624	ACTB	-0.0696	0.7551	None
ENSG00000101670	LIPG	1.1275	0.2552	None
ENSG00000168026	TTC21A	0.5106	0.4853	None
ENSG00000152784	PRDM8	-0.7848	0.0012	None
ENSG00000182871	COL18A1	-0.0265	0.9282	None
ENSG00000136732	GYPC	0.444	0.013	None
ENSG00000113648	H2AFY	-0.5938	0	None
ENSG00000215386	MIR99AHG	1.3434	0.0505	None
ENSG00000241973	PI4KA	-0.0723	0.7523	None
ENSG00000117475	BLZF1	0.3036	0.1849	None
ENSG00000240583	AQP1	0.236	0.8947	None
ENSG00000250548	LINC01303	0.7191	0.4255	None
ENSG00000166592	RRAD	1.9399	0	None
ENSG00000261438	AL157394.1	-0.3506	0.6529	None
ENSG00000162390	ACOT11	0.3387	0.8172	None
ENSG00000274523	RCC1L	-0.137	0.4219	None
ENSG00000164543	STK17A	0.0629	0.7827	None
ENSG00000230510	PPP5D1	0.781	0.4628	None
ENSG00000166246	C16orf71	1.4943	0.095	None
ENSG00000165272	AQP3	2.2664	0.0254	up
ENSG00000113328	CCNG1	0.5138	2e-4	None
ENSG00000165807	PPP1R36	2.8116	0.1117	None
ENSG00000198924	DCLRE1A	-2.0854	0	down
ENSG00000181830	SLC35C1	0.7368	0	None
ENSG00000178404	CEP295NL	-0.4684	0.8525	None
ENSG00000144597	EAF1	-0.1241	0.6513	None
ENSG00000167601	AXL	-0.7573	0	None
ENSG00000198718	TOGARAM1	0.2171	0.5886	None
ENSG00000137074	APTX	-0.0561	0.8381	None
ENSG00000047644	WWC3	-0.3963	0.1176	None
ENSG00000245275	SAP30L-AS1	0.5096	0.7352	None
ENSG00000020577	SAMD4A	-0.0165	0.9538	None
ENSG00000183111	ARHGEF37	3.527	0.0045	up
ENSG00000115183	TANC1	-0.2829	0.4373	None
ENSG00000283103	AC010642.2	-0.1504	0.8497	None
ENSG00000213073	AL353625.1	0.4759	0.6998	None
ENSG00000108256	NUFIP2	-0.4696	0.0114	None
ENSG00000137285	TUBB2B	0.8688	0.6427	None
ENSG00000174227	PIGG	0.2413	0.148	None
ENSG00000176894	PXMP2	-0.9867	0.0699	None
ENSG00000114107	CEP70	-0.7862	0.0556	None
ENSG00000101452	DHX35	-0.5494	0.0276	None
ENSG00000162078	ZG16B	2.4037	0.2947	None
ENSG00000172935	MRGPRF	0.1139	0.6572	None
ENSG00000100129	EIF3L	0.2183	0.163	None
ENSG00000283959	AP002851.1	1.504	0.0975	None
ENSG00000130177	CDC16	0.4239	0.0011	None
ENSG00000260778	AC009065.4	0.5248	0.7029	None
ENSG00000201772	SNORA5C	-1.7492	0.3432	None
ENSG00000111371	SLC38A1	0.0548	0.8791	None
ENSG00000156313	RPGR	-0.9002	3e-4	None
ENSG00000143157	POGK	-0.5595	5e-4	None
