gene_id	gene	log2FoldChange	padj	stat
ENSG00000007384	RHBDF1	0.8201	0	None
ENSG00000145861	C1QTNF2	-1.679	0.0185	None
ENSG00000129559	NEDD8	0.6187	0.0597	None
ENSG00000254893	AC113404.3	0.3881	0.6527	None
ENSG00000256683	ZNF350	0.1947	0.7853	None
ENSG00000267575	AC006504.5	0.0777	0.9173	None
ENSG00000233892	PAIP1P1	0.0697	0.9819	None
ENSG00000041353	RAB27B	6.5888	0	up
ENSG00000148229	POLE3	-1.0556	0	None
ENSG00000143545	RAB13	0.7915	0.0019	None
ENSG00000092470	WDR76	-1.503	0	None
ENSG00000119688	ABCD4	-0.132	0.7434	None
ENSG00000149328	GLB1L2	0.6974	0.396	None
ENSG00000204291	COL15A1	-4.3161	0	down
ENSG00000170989	S1PR1	-0.6069	0.6872	None
ENSG00000108381	ASPA	-0.767	0.3166	None
ENSG00000182118	FAM89A	-0.0143	0.9837	None
ENSG00000139168	ZCRB1	0.4147	0.1946	None
ENSG00000212864	RNF208	0.3664	0.8451	None
ENSG00000124164	VAPB	-0.226	0.3628	None
ENSG00000278311	GGNBP2	-0.0089	0.9793	None
ENSG00000166974	MAPRE2	-0.0106	0.9776	None
ENSG00000140650	PMM2	-0.0639	0.8659	None
ENSG00000130856	ZNF236	-0.711	0.0419	None
ENSG00000162704	ARPC5	0.1787	0.5639	None
ENSG00000175305	CCNE2	-1.6143	5e-4	None
ENSG00000273391	AC083880.1	-1.4142	0.4447	None
ENSG00000196810	CTBP1-AS2	-0.1282	0.8019	None
ENSG00000204764	RANBP17	0.9281	0.1007	None
ENSG00000107566	ERLIN1	-0.7075	2e-4	None
ENSG00000136982	DSCC1	-0.8664	0.0032	None
ENSG00000145919	BOD1	-0.2545	0.3913	None
ENSG00000184792	OSBP2	0.6578	0.0134	None
ENSG00000151746	BICD1	-0.256	0.5526	None
ENSG00000065613	SLK	-0.4723	0.0874	None
ENSG00000163125	RPRD2	-0.306	0.4934	None
ENSG00000178665	ZNF713	-0.24	0.9162	None
ENSG00000168646	AXIN2	-0.3459	0.7357	None
ENSG00000014914	MTMR11	0.3425	0.4186	None
ENSG00000225648	SBDSP1	-0.3569	0.2199	None
ENSG00000113391	FAM172A	-0.0103	0.9809	None
ENSG00000229018	PMS2P7	0.1787	0.9577	None
ENSG00000066135	KDM4A	0.2685	0.3659	None
ENSG00000152078	TMEM56	-1.0611	0.2403	None
ENSG00000151718	WWC2	-0.2899	0.4496	None
ENSG00000186594	MIR22HG	0.5706	0.0109	None
ENSG00000069849	ATP1B3	-0.2452	0.4132	None
ENSG00000141569	TRIM65	-0.2136	0.4943	None
ENSG00000135476	ESPL1	-1.5863	0	None
ENSG00000198380	GFPT1	0.8396	0	None
ENSG00000011143	MKS1	-0.5167	0.1338	None
ENSG00000152904	GGPS1	0.4596	0.1166	None
ENSG00000115762	PLEKHB2	0.3623	0.0828	None
ENSG00000164035	EMCN	3.7814	0.0472	up
ENSG00000129595	EPB41L4A	-0.6066	0.7438	None
ENSG00000247199	AC091948.1	1.909	0.4836	None
ENSG00000248636	AC002070.1	1.3204	0.4873	None
ENSG00000136098	NEK3	-0.6548	0.078	None
ENSG00000257043	AP006296.1	-1.2523	0.4285	None
ENSG00000040933	INPP4A	0.0333	0.9463	None
ENSG00000258457	AL132780.2	2.8366	0.1693	None
ENSG00000223886	AC073073.1	-0.1051	0.9612	None
ENSG00000266145	RHOT1P1	0.9507	0.5754	None
ENSG00000115944	COX7A2L	0.4356	0.1219	None
ENSG00000115266	APC2	1.9466	0	None
ENSG00000164896	FASTK	-0.1465	0.6576	None
ENSG00000278845	MRPL45	-0.1919	0.5913	None
ENSG00000004864	SLC25A13	-0.4689	0.0333	None
ENSG00000151846	PABPC3	-0.0237	0.9839	None
ENSG00000139613	SMARCC2	-0.3111	0.2696	None
ENSG00000047188	YTHDC2	0.1002	0.845	None
ENSG00000092421	SEMA6A	0.7185	0.6922	None
ENSG00000198797	BRINP2	-1.19	0.1862	None
ENSG00000187266	EPOR	0.5623	0.2282	None
ENSG00000113580	NR3C1	-0.8566	0.0019	None
ENSG00000111652	COPS7A	0.1689	0.5139	None
ENSG00000158864	NDUFS2	0.3235	0.219	None
ENSG00000232004	CAP1P2	0.6497	0.2219	None
ENSG00000168268	NT5DC2	-0.1954	0.5065	None
ENSG00000166710	B2M	0.6977	0.0231	None
ENSG00000078142	PIK3C3	0.4577	0.1033	None
ENSG00000048740	CELF2	-0.79	0.0538	None
ENSG00000164066	INTU	-0.4925	0.3256	None
ENSG00000227973	PIN4P1	1.0859	0.7476	None
ENSG00000226174	TEX22	0.664	0.7366	None
ENSG00000139874	SSTR1	1.1334	0.7113	None
ENSG00000152049	KCNE4	-0.3451	0.7617	None
ENSG00000267244	AC012615.6	-0.1436	0.9374	None
ENSG00000232679	LINC01705	2.4656	0.0245	up
ENSG00000231925	TAPBP	1.1582	0	None
ENSG00000131378	RFTN1	0.3189	0.1976	None
ENSG00000119714	GPR68	1.4793	0	None
ENSG00000133740	E2F5	0.2566	0.7337	None
ENSG00000165655	ZNF503	-0.2848	0.2289	None
ENSG00000125875	TBC1D20	0.4039	0.0821	None
ENSG00000236540	AC006547.1	0.2959	0.6392	None
ENSG00000101439	CST3	0.413	0.1616	None
ENSG00000163521	GLB1L	0.247	0.5846	None
ENSG00000135090	TAOK3	-0.0276	0.9523	None
ENSG00000091831	ESR1	1.6511	0.3338	None
ENSG00000233559	LINC00513	0.9731	0.1276	None
ENSG00000181781	ODF3L2	2.8543	0.3198	None
ENSG00000164932	CTHRC1	-0.2828	0.8476	None
ENSG00000158352	SHROOM4	0.1581	0.9154	None
ENSG00000203722	RAET1G	0.4214	0.7839	None
ENSG00000138434	SSFA2	-0.2045	0.5352	None
ENSG00000172531	PPP1CA	-0.1045	0.7755	None
ENSG00000166321	NUDT13	0.3286	0.7273	None
ENSG00000165891	E2F7	-1.369	1e-4	None
ENSG00000124588	NQO2	-0.1546	0.9003	None
ENSG00000076258	FMO4	-0.2327	0.8703	None
ENSG00000235609	AF127577.4	2.0568	0.0028	up
ENSG00000253187	HOXA10-AS	-0.1423	0.9322	None
ENSG00000103855	CD276	0.2683	0.2676	None
ENSG00000157350	ST3GAL2	-0.0546	0.89	None
ENSG00000176986	SEC24C	0.231	0.6252	None
ENSG00000197329	PELI1	-0.2048	0.73740000000000006	None
ENSG00000144824	PHLDB2	-0.0776	0.828	None
ENSG00000126107	HECTD3	0.309	0.1657	None
ENSG00000197312	DDI2	-0.7267	0.0407	None
ENSG00000172575	RASGRP1	1.3173	0.4351	None
ENSG00000228653	HNRNPCP7	0.3109	0.9264	None
ENSG00000244184	AC091153.3	2.1982	0.3522	None
ENSG00000083099	LYRM2	-0.2074	0.4484	None
ENSG00000279227	AC009303.4	0.8478	0.386	None
ENSG00000180611	MB21D2	-0.3118	0.4074	None
ENSG00000129472	RAB2B	0.0317	0.9463	None
ENSG00000242071	RPL7AP6	-0.0504	0.9157	None
ENSG00000135845	PIGC	-0.5173	0.0472	None
ENSG00000277972	CISD3	-0.1036	0.8092	None
ENSG00000125319	C17orf53	-0.9289	0.0024	None
ENSG00000244694	PTCHD4	-0.0258	0.9843	None
ENSG00000161526	SAP30BP	-0.1421	0.6607	None
ENSG00000165209	STRBP	-0.711	0.2101	None
ENSG00000101255	TRIB3	0.2618	0.6613	None
ENSG00000116120	FARSB	-0.3221	0.1338	None
ENSG00000171735	CAMTA1	-0.1918	0.664	None
ENSG00000238078	LINC01352	2.373	0.1688	None
ENSG00000078618	NRDC	0.3027	0.1545	None
ENSG00000266904	LINC00663	2.6441	5e-4	up
ENSG00000215256	DHRS4-AS1	-0.1272	0.7815	None
ENSG00000228451	SDAD1P1	0.8324	0.6501	None
ENSG00000278530	CHMP1B2P	-0.2631	0.8619	None
ENSG00000125531	FNDC11	1.1395	0.624	None
ENSG00000107262	BAG1	-0.6179	0.0208	None
ENSG00000089060	SLC8B1	0.693	0.0164	None
ENSG00000255197	AC090559.1	-0.8604	0.4564	None
ENSG00000112996	MRPS30	-0.5273	0.0318	None
ENSG00000155085	AK9	-0.0151	0.9882	None
ENSG00000164296	TIGD6	0.3665	0.4307	None
ENSG00000237945	LINC00649	0.2236	0.8377	None
ENSG00000196611	MMP1	4.6632	0	up
ENSG00000198715	GLMP	0.9322	0	None
ENSG00000005471	ABCB4	1.3386	0.6484	None
ENSG00000180011	ZADH2	-0.1426	0.6261	None
ENSG00000163882	POLR2H	-0.2371	0.4576	None
ENSG00000129353	SLC44A2	0.2832	0.3395	None
ENSG00000272333	KMT2B	-0.4976	0.1959	None
ENSG00000135776	ABCB10	-0.9415	0	None
ENSG00000198860	TSEN15	-0.715	0.0046	None
ENSG00000165792	METTL17	-0.5646	0.0276	None
ENSG00000187546	AGMO	2.7718	0	up
ENSG00000076356	PLXNA2	1.0179	0.422	None
ENSG00000139697	SBNO1	-0.1589	0.7426	None
ENSG00000204120	GIGYF2	-0.0987	0.8176	None
ENSG00000140511	HAPLN3	0.9477	0.211	None
ENSG00000180901	KCTD2	-0.2852	0.2537	None
ENSG00000184857	TMEM186	-0.2175	0.6485	None
ENSG00000138207	RBP4	0.1612	0.8007	None
ENSG00000206838	SNORA5A	0.1872	0.9552	None
ENSG00000151881	TMEM267	0.1061	0.793	None
ENSG00000205356	TECPR1	0.389	0.1906	None
ENSG00000129317	PUS7L	-0.0183	0.9768	None
ENSG00000267470	ZNF571-AS1	0.9848	0.3494	None
ENSG00000226415	TPI1P1	0.5233	0.1129	None
ENSG00000132383	RPA1	-0.6499	0.0011	None
ENSG00000225774	SIRPAP1	-0.6284	0.8578	None
ENSG00000129003	VPS13C	0.1791	0.7871	None
ENSG00000233381	AK4P3	0.775	0.3018	None
ENSG00000166896	ATP23	-0.6964	0.2146	None
ENSG00000091844	RGS17	-0.6048	0.0625	None
ENSG00000214248	AC010336.1	1.5462	0.537	None
ENSG00000247092	SNHG10	-0.185	0.7824	None
ENSG00000111845	PAK1IP1	-0.7166	0.001	None
ENSG00000258282	BTF3P2	1.1864	0.6273	None
ENSG00000007944	MYLIP	0.2663	0.7635	None
ENSG00000205277	MUC12	1.3958	0.5697	None
ENSG00000272821	U62317.3	-0.8207	0.3527	None
ENSG00000197530	MIB2	0.5064	0.0314	None
ENSG00000171055	FEZ2	0.4389	0.1204	None
ENSG00000256915	AC090023.2	-1.1502	0.2934	None
ENSG00000118217	ATF6	-0.176	0.6148	None
ENSG00000184056	VPS33B	0.5933	0.3051	None
ENSG00000226180	AC010536.1	-0.2622	0.8983	None
ENSG00000238279	BX470102.1	-0.5053	0.5962	None
ENSG00000135698	MPHOSPH6	-0.0026	0.9947	None
ENSG00000226287	TMEM191A	2.3216	0	up
ENSG00000273551	AC120498.8	4.0706	0.0829	None
ENSG00000173262	SLC2A14	1.0848	0.8629	None
ENSG00000147140	NONO	-0.6415	3e-4	None
ENSG00000151239	TWF1	-0.1482	0.6118	None
ENSG00000279384	AC080188.2	-1.757	0.4467	None
ENSG00000239467	AC007405.3	-0.1523	0.9182	None
ENSG00000135114	OASL	-0.1458	0.8931	None
ENSG00000204531	POU5F1	-0.6951	0.7236	None
ENSG00000087087	SRRT	-0.8317	0	None
ENSG00000164619	BMPER	0.275	0.5105	None
ENSG00000185716	MOSMO	-0.2834	0.2594	None
ENSG00000147488	ST18	4.6284	0.0733	None
ENSG00000187601	MAGEH1	-0.3634	0.3568	None
ENSG00000254999	BRK1	0.66	0.0015	None
ENSG00000219653	GCNT1P4	2.1864	0.3599	None
ENSG00000182272	B4GALNT4	3.512	0	up
ENSG00000099999	RNF215	0.739	0.0188	None
ENSG00000278987	AL031009.1	-1.8342	0.2941	None
ENSG00000085563	ABCB1	2.3775	0.1304	None
ENSG00000161091	MFSD12	0.6997	0.0056	None
ENSG00000108518	PFN1	0.0605	0.8914	None
ENSG00000112029	FBXO5	-1.8049	0	None
ENSG00000237499	AL357060.1	0.3626	0.6572	None
ENSG00000158220	ESYT3	-2.3712	0.0328	down
ENSG00000259146	AC005476.2	1.8398	0.2417	None
ENSG00000134453	RBM17	-0.7888	5e-4	None
ENSG00000283128	AC009403.2	2.7271	0.1488	None
ENSG00000004455	AK2	-0.1138	0.7202	None
ENSG00000105136	ZNF419	0.9721	0.0462	None
ENSG00000167632	TRAPPC9	-0.0714	0.873	None
ENSG00000151466	SCLT1	-1.1996	0	None
ENSG00000129480	DTD2	0.1082	0.7733	None
ENSG00000259705	AC084757.3	0.6878	0.331	None
ENSG00000179611	DGKZP1	-0.435	0.1449	None
ENSG00000185950	IRS2	-0.8255	0.5716	None
ENSG00000213214	ARHGEF35	1.0824	0.4394	None
ENSG00000260075	NSFP1	0.326	0.8756	None
ENSG00000214046	SMIM7	-0.0521	0.9157	None
ENSG00000172053	QARS	0.1295	0.6503	None
ENSG00000178458	H3F3AP6	-0.24	0.7618	None
ENSG00000070371	CLTCL1	0.0336	0.9552	None
ENSG00000239213	NCK1-AS1	0.4075	0.5836	None
ENSG00000038945	MSR1	0.6965	0.6861	None
ENSG00000158079	PTPDC1	-0.2353	0.5586	None
ENSG00000177239	MAN1B1	0.9499	0	None
ENSG00000077063	CTTNBP2	0.6292	0.5698	None
ENSG00000108691	CCL2	3.001	0	up
ENSG00000170619	COMMD5	0.0228	0.9641	None
ENSG00000151632	AKR1C2	-0.9852	0	None
ENSG00000131368	MRPS25	-0.0766	0.8343	None
ENSG00000013573	DDX11	-1.0573	0	None
ENSG00000124226	RNF114	-0.2731	0.2201	None
ENSG00000184677	ZBTB40	-0.2933	0.4179	None
ENSG00000204954	C12orf73	-0.0173	0.9791	None
ENSG00000134107	BHLHE40	0.7934	7e-4	None
ENSG00000170540	ARL6IP1	-1.5444	0	None
ENSG00000146918	NCAPG2	-1.8114	0	None
ENSG00000205740	AL359878.1	-1.7862	0.3513	None
ENSG00000173918	C1QTNF1	0.6858	0.0047	None
ENSG00000218426	AL590867.2	0.1418	0.8377	None
ENSG00000066279	ASPM	-2.5048	0	down
ENSG00000197142	ACSL5	0.1932	0.8355	None
ENSG00000189077	TMEM120A	0.2896	0.372	None
ENSG00000283050	GTF2IP12	0.1362	0.9245	None
ENSG00000239306	RBM14	-1.1074	0	None
ENSG00000203279	AL590705.1	-1.3739	0.5961	None
ENSG00000117697	NSL1	-0.6055	0.015	None
ENSG00000072163	LIMS2	0.5441	0.6868	None
ENSG00000250896	RNPS1P1	-1.0427	0.565	None
ENSG00000163064	EN1	0.1714	0.6808	None
ENSG00000259943	AL050341.2	-0.7868	0.1672	None
ENSG00000189221	MAOA	0.3567	0.3593	None
ENSG00000106560	GIMAP2	-1.4014	0.5263	None
ENSG00000160785	SLC25A44	-0.0318	0.9316	None
ENSG00000279355	AGPAT4-IT1	-0.8343	0.6321	None
ENSG00000196236	XPNPEP3	0.12	0.7262	None
ENSG00000104723	TUSC3	0.5718	0.0625	None
ENSG00000111667	USP5	0.0129	0.9706	None
ENSG00000266921	AC006213.1	0.549	0.8299	None
ENSG00000137656	BUD13	-1.0043	0	None
ENSG00000105339	DENND3	0.247	0.5034	None
ENSG00000104691	UBXN8	-0.0574	0.9048	None
ENSG00000259349	AC011921.1	0.5507	0.8082	None
ENSG00000204681	GABBR1	0.276	0.5994	None
ENSG00000131797	CLUHP3	-0.3396	0.8651	None
ENSG00000266835	GAPLINC	2.0329	0.0019	up
ENSG00000169991	IFFO2	-0.6117	0.0377	None
ENSG00000155304	HSPA13	-0.7707	1e-4	None
ENSG00000211454	AKR7L	-0.8855	0.658	None
ENSG00000130475	FCHO1	2.4229	0.0091	up
ENSG00000179454	KLHL28	0.0108	0.9851	None
ENSG00000109390	NDUFC1	0.396	0.2417	None
ENSG00000143450	OAZ3	0.9464	0.0816	None
ENSG00000145536	ADAMTS16	0.9571	0.211	None
ENSG00000145349	CAMK2D	0.2274	0.3526	None
ENSG00000130962	PRRG1	0.0065	0.9878	None
ENSG00000251136	AF117829.1	0.6205	0.505	None
ENSG00000230224	PHBP9	-0.0085	0.9967	None
ENSG00000123091	RNF11	0.5976	0.0019	None
ENSG00000196873	CBWD3	0.4889	0.507	None
ENSG00000091527	CDV3	-0.2876	0.1613	None
ENSG00000230082	PRRT3-AS1	1.0797	0.0056	None
ENSG00000150760	DOCK1	-0.092	0.8175	None
ENSG00000198805	PNP	0.1055	0.8008	None
ENSG00000111671	SPSB2	0.0033	0.9958	None
ENSG00000157764	BRAF	0.0284	0.9594	None
ENSG00000274026	FAM27E3	-1.2537	0.2378	None
ENSG00000115641	FHL2	0.362	0.3328	None
ENSG00000226803	AL136311.1	-0.1417	0.9416	None
ENSG00000280402	AC093525.10	-0.5272	0.873	None
ENSG00000254615	AC027031.2	-0.3111	0.4037	None
ENSG00000132376	INPP5K	-0.2839	0.3272	None
ENSG00000253557	AC100849.1	4.3477	0.0495	up
ENSG00000248008	NRAV	-0.1954	0.6181	None
ENSG00000281903	LINC02246	2.7579	0.2643	None
ENSG00000109220	CHIC2	-0.017	0.9689	None
ENSG00000269486	ERVK9-11	0.2094	0.8964	None
ENSG00000269293	ZSCAN16-AS1	0.6708	0.2925	None
ENSG00000170264	FAM161A	-0.9074	0.0979	None
ENSG00000165102	HGSNAT	0.2112	0.5314	None
ENSG00000093009	CDC45	-1.8572	0	None
ENSG00000147234	FRMPD3	-0.719	0.6757	None
ENSG00000186792	HYAL3	1.5823	0	None
ENSG00000141279	NPEPPS	0.7131	1e-4	None
ENSG00000166770	ZNF667-AS1	0.4997	0.6438	None
ENSG00000167695	FAM57A	-0.3745	0.0768	None
ENSG00000143190	POU2F1	-0.6811	0.149	None
ENSG00000260197	AC010889.1	-1.2791	0.6676	None
ENSG00000145604	SKP2	-1.1476	0	None
ENSG00000197557	TTC30A	0.2568	0.6723	None
ENSG00000182902	SLC25A18	1.4124	0.1487	None
ENSG00000167081	PBX3	-0.6135	0.0092	None
ENSG00000183578	TNFAIP8L3	-0.5265	0.0338	None
ENSG00000198818	SFT2D1	-0.0112	0.9799	None
ENSG00000143401	ANP32E	-1.135	0	None
ENSG00000120658	ENOX1	-0.3177	0.3661	None
ENSG00000119673	ACOT2	0.194	0.6779	None
ENSG00000188343	FAM92A	-0.0966	0.8004	None
ENSG00000087077	TRIP6	0.1579	0.6106	None
ENSG00000163026	WDCP	-0.1463	0.7	None
ENSG00000240344	PPIL3	-0.5891	0.0388	None
ENSG00000083844	ZNF264	-0.2214	0.5132	None
ENSG00000172037	LAMB2	1.4881	0	None
ENSG00000136052	SLC41A2	0.5548	0.1495	None
ENSG00000215305	VPS16	0.0507	0.8924	None
ENSG00000144583	MARCH4	-0.0386	0.9784	None
ENSG00000174628	IQCK	0.4952	0.2825	None
ENSG00000277969	AC006449.6	-1.3231	0.2128	None
ENSG00000005194	CIAPIN1	-0.0342	0.9222	None
ENSG00000154127	UBASH3B	-0.5855	0.0599	None
ENSG00000155906	RMND1	0.1927	0.6128	None
ENSG00000145911	N4BP3	1.7112	0.3347	None
ENSG00000263766	AC025682.1	-1.101	0.6945	None
ENSG00000249115	HAUS5	-1.2576	0	None
ENSG00000169710	FASN	0.3085	0.3086	None
ENSG00000182405	PGBD4	-0.0671	0.9333	None
ENSG00000277067	CU634019.1	1.6552	0.1911	None
ENSG00000240970	RPL23AP64	-0.128	0.9673	None
ENSG00000164761	TNFRSF11B	-1.7417	0.4673	None
ENSG00000146122	DAAM2	-1.6428	0.2093	None
ENSG00000147119	CHST7	0.6265	0.0052	None
ENSG00000138175	ARL3	0.8389	0.0131	None
ENSG00000119917	IFIT3	0.8369	0.01	None
ENSG00000079482	OPHN1	1.2715	0.0023	None
ENSG00000119950	MXI1	0.9298	0.0149	None
ENSG00000205710	C17orf107	1.6371	0.3396	None
ENSG00000143633	C1orf131	-0.8098	0.0012	None
ENSG00000065882	TBC1D1	-0.5133	0.0168	None
ENSG00000244486	SCARF2	0.1595	0.7426	None
ENSG00000198131	ZNF544	0.2328	0.507	None
ENSG00000205221	VIT	-1.9544	0	None
ENSG00000268362	AC092279.1	0.4208	0.727	None
ENSG00000231789	PIK3CD-AS2	-0.939	0.6261	None
ENSG00000125398	SOX9	0.607	0.1797	None
ENSG00000100156	SLC16A8	2.1748	0.3963	None
ENSG00000112619	PRPH2	0.2464	0.8927	None
ENSG00000094804	CDC6	-1.2751	0	None
ENSG00000168615	ADAM9	0.8986	2e-4	None
ENSG00000270959	LPP-AS2	0.5941	0.2645	None
ENSG00000089154	GCN1	0.1644	0.7132	None
ENSG00000247121	AC009126.1	-1.7129	0.1816	None
ENSG00000162944	RFTN2	-1.2529	0.1221	None
ENSG00000197601	FAR1	-0.3666	0.1574	None
ENSG00000139291	TMEM19	-0.8357	4e-4	None
ENSG00000075624	ACTB	0.0681	0.8407	None
ENSG00000101670	LIPG	0.4079	0.6097	None
ENSG00000168026	TTC21A	0.4261	0.6529	None
ENSG00000152784	PRDM8	-0.4795	0.1559	None
ENSG00000182871	COL18A1	-0.0245	0.964	None
ENSG00000136732	GYPC	0.4961	0.0733	None
ENSG00000113648	H2AFY	-0.4692	0.024	None
ENSG00000215386	MIR99AHG	1.0756	0.2107	None
ENSG00000241973	PI4KA	-0.2363	0.5419	None
ENSG00000117475	BLZF1	0.2423	0.4977	None
ENSG00000240583	AQP1	-0.2979	0.9057	None
ENSG00000250548	LINC01303	1.1278	0.1756	None
ENSG00000166592	RRAD	1.5432	0	None
ENSG00000261438	AL157394.1	-0.593	0.4809	None
ENSG00000162390	ACOT11	-0.3413	0.8247	None
ENSG00000274523	RCC1L	-0.1061	0.7009	None
ENSG00000164543	STK17A	0.225	0.4722	None
ENSG00000230510	PPP5D1	0.3528	0.8366	None
ENSG00000166246	C16orf71	0.939	0.4282	None
ENSG00000165272	AQP3	2.0968	0.0628	None
ENSG00000113328	CCNG1	0.7027	4e-4	None
ENSG00000165807	PPP1R36	2.2526	0.3211	None
ENSG00000198924	DCLRE1A	-1.4108	3e-4	None
ENSG00000181830	SLC35C1	0.4959	0.0112	None
ENSG00000178404	CEP295NL	0.1785	0.9496	None
ENSG00000144597	EAF1	-0.3063	0.3274	None
ENSG00000167601	AXL	-0.6772	0.0029	None
ENSG00000198718	TOGARAM1	0.1124	0.8321	None
ENSG00000137074	APTX	-0.0866	0.8335	None
ENSG00000047644	WWC3	-0.3698	0.3336	None
ENSG00000245275	SAP30L-AS1	0.1121	0.961	None
ENSG00000020577	SAMD4A	0.0615	0.8815	None
ENSG00000183111	ARHGEF37	2.3663	0.2309	None
ENSG00000115183	TANC1	-0.1662	0.7154	None
ENSG00000283103	AC010642.2	0.532	0.4324	None
ENSG00000213073	AL353625.1	0.3969	0.7696	None
ENSG00000108256	NUFIP2	-0.4322	0.1911	None
ENSG00000137285	TUBB2B	0.6994	0.7435	None
ENSG00000174227	PIGG	0.21	0.4032	None
ENSG00000176894	PXMP2	-0.7489	0.219	None
ENSG00000114107	CEP70	0.1248	0.8645	None
