gene_id	gene	log2FoldChange	padj	stat	group
ENSG00000066279	ASPM	-2.0082	0	down	UB_T10_T12_vs_T3_T5
ENSG00000272196	HIST2H2AA4	3.0695	0.0118	up	UB_T10_T12_vs_T3_T5
ENSG00000115919	KYNU	4.2285	0.0047	up	UB_T10_T12_vs_T3_T5
ENSG00000002745	WNT16	6.4424	0	up	UB_T10_T12_vs_T3_T5
ENSG00000117724	CENPF	-2.0507	0	down	UB_T10_T12_vs_T3_T5
ENSG00000158813	EDA	-2.4195	0.0082	down	UB_T10_T12_vs_T3_T5
ENSG00000125730	C3	4.071	0	up	UB_T10_T12_vs_T3_T5
ENSG00000183801	OLFML1	3.0631	0.0177	up	UB_T10_T12_vs_T3_T5
ENSG00000233308	OSTN-AS1	3.9304	0	up	UB_T10_T12_vs_T3_T5
ENSG00000118193	KIF14	-2.0961	0	down	UB_T10_T12_vs_T3_T5
ENSG00000253628	AC110011.1	3.266	0.0085	up	UB_T10_T12_vs_T3_T5
ENSG00000172399	MYOZ2	2.14	0.001	up	UB_T10_T12_vs_T3_T5
ENSG00000140519	RHCG	3.6706	0.0194	up	UB_T10_T12_vs_T3_T5
ENSG00000115009	CCL20	4.059	0	up	UB_T10_T12_vs_T3_T5
ENSG00000255690	TRIL	-4.4067	9e-4	down	UB_T10_T12_vs_T3_T5
ENSG00000214376	VSTM5	2.1386	0.0268	up	UB_T10_T12_vs_T3_T5
ENSG00000139946	PELI2	-2.3036	0.0068	down	UB_T10_T12_vs_T3_T5
ENSG00000164935	DCSTAMP	-3.3407	0.0417	down	UB_T10_T12_vs_T3_T5
ENSG00000187094	CCK	3.8086	0	up	UB_T10_T12_vs_T3_T5
ENSG00000112183	RBM24	2.1725	4e-4	up	UB_T10_T12_vs_T3_T5
ENSG00000182836	PLCXD3	2.2278	0.0018	up	UB_T10_T12_vs_T3_T5
ENSG00000232855	AF165147.1	2.0963	0	up	UB_T10_T12_vs_T3_T5
ENSG00000187479	C11orf96	2.7367	0.01	up	UB_T10_T12_vs_T3_T5
ENSG00000214357	NEURL1B	-2.2019	0	down	UB_T10_T12_vs_T3_T5
ENSG00000114115	RBP1	-2.3543	0	down	UB_T10_T12_vs_T3_T5
ENSG00000147697	GSDMC	3.4664	1e-4	up	UB_T10_T12_vs_T3_T5
ENSG00000211448	DIO2	2.3946	0.0273	up	UB_T10_T12_vs_T3_T5
ENSG00000137812	KNL1	-2.0083	0	down	UB_T10_T12_vs_T3_T5
ENSG00000163347	CLDN1	3.2494	1e-4	up	UB_T10_T12_vs_T3_T5
ENSG00000180596	HIST1H2BC	2.4111	0	up	UB_T10_T12_vs_T3_T5
ENSG00000135373	EHF	3.4762	0.0074	up	UB_T10_T12_vs_T3_T5
ENSG00000186847	KRT14	2.225	0.0026	up	UB_T10_T12_vs_T3_T5
ENSG00000163995	ABLIM2	2.7708	0.0412	up	UB_T10_T12_vs_T3_T5
ENSG00000248869	LINC02511	2.0234	0.0012	up	UB_T10_T12_vs_T3_T5
ENSG00000226835	AC097059.1	3.294	0	up	UB_T10_T12_vs_T3_T5
ENSG00000152402	GUCY1A2	2.2409	0.0238	up	UB_T10_T12_vs_T3_T5
ENSG00000137393	RNF144B	2.6626	1e-4	up	UB_T10_T12_vs_T3_T5
ENSG00000152463	OLAH	2.0376	7e-4	up	UB_T10_T12_vs_T3_T5
ENSG00000232973	CYP1B1-AS1	2.2692	0.0014	up	UB_T10_T12_vs_T3_T5
ENSG00000231574	LINC02015	3.1562	0.018	up	UB_T10_T12_vs_T3_T5
ENSG00000146197	SCUBE3	3.3864	0.0023	up	UB_T10_T12_vs_T3_T5
ENSG00000101210	EEF1A2	2.573	0	up	UB_T10_T12_vs_T3_T5
ENSG00000023445	BIRC3	2.2387	0.0257	up	UB_T10_T12_vs_T3_T5
ENSG00000186193	SAPCD2	-2.1587	0	down	UB_T10_T12_vs_T3_T5
ENSG00000158373	HIST1H2BD	2.011	0	up	UB_T10_T12_vs_T3_T5
ENSG00000101265	RASSF2	-2.3776	0	down	UB_T10_T12_vs_T3_T5
ENSG00000110900	TSPAN11	2.8317	0.0153	up	UB_T10_T12_vs_T3_T5
ENSG00000131737	KRT34	2.2079	0	up	UB_T10_T12_vs_T3_T5
ENSG00000136244	IL6	2.3037	0.011	up	UB_T10_T12_vs_T3_T5
ENSG00000180573	HIST1H2AC	2.2159	0	up	UB_T10_T12_vs_T3_T5
ENSG00000138378	STAT4	2.4014	0.0385	up	UB_T10_T12_vs_T3_T5
ENSG00000090339	ICAM1	2.7745	3e-4	up	UB_T10_T12_vs_T3_T5
ENSG00000182175	RGMA	-4.9521	0	down	UB_T10_T12_vs_T3_T5
ENSG00000100078	PLA2G3	-2.787	0.0013	down	UB_T10_T12_vs_T3_T5
ENSG00000135549	PKIB	2.2227	0.0038	up	UB_T10_T12_vs_T3_T5
ENSG00000177675	CD163L1	4.2693	2e-4	up	UB_T10_T12_vs_T3_T5
ENSG00000251003	ZFPM2-AS1	2.1618	0.0391	up	UB_T10_T12_vs_T3_T5
ENSG00000186462	NAP1L2	3.6881	0.0058	up	UB_T10_T12_vs_T3_T5
ENSG00000147180	ZNF711	-3.1548	8e-4	down	UB_T10_T12_vs_T3_T5
ENSG00000166341	DCHS1	-2.1982	0.001	down	UB_T10_T12_vs_T3_T5
ENSG00000137975	CLCA2	2.1305	7e-4	up	UB_T10_T12_vs_T3_T5
