gene	stat
P2RX7	up
PAQR6	up
PBXIP1	up
PCDHGA6	up
PCSK4	up
PCSK9	up
PCYT1B	up
PDCD4	up
PDK4	up
PEG13	up
PGA5	up
PGPEP1	up
PHOSPHO1	up
PHYHIP	up
PLA2G3	up
PLEKHH1	up
PLIN4	up
PNMA8B	up
PNO1	down
PNPLA3	up
PNRC1	up
PPL	up
PRCD	up
PRKAR2A-AS1	up
PRPH2	up
PRRT1	up
PRSS27	up
PRSS30P	up
PTCH1	up
PTCH2	up
PTGDR2	up
PTH1R	up
PTP4A3	up
PTPRE	up
PTPRQ	down
PTPRR	down
PTX3	down
RAB26	up
RAB33A	up
RAB37	up
RAB39B	up
RAB42	up
RAB43P1	up
RAET1G	up
RANBP3L	up
RARA-AS1	up
RASD1	up
RASGEF1A	up
RASL12	up
RASSF2	up
RASSF4	up
RDH8	down
RELN	down
RENBP	up
REPS2	up
RGMA	up
RGS14	up
RIMBP3	up
RIMBP3B	up
RIPOR3	up
RNF125	up
RNF208	up
ROBO4	up
ROR2	up
RPH3AL	up
RSPH9	up
RXRG	up
SALL2	up
SALL4	up
SATB1	up
SCART1	up
SCD	up
SCDP1	up
SCNN1D	up
SDAD1P1	up
SEC14L5	up
SEMA4G	up
SEMA6C	up
SEPT6	up
SERPINB2	down
SERPINB9P1	up
SERTAD4	up
SESN3	up
SFRP2	up
SHISA3	down
SHROOM3	up
SIDT2	up
SIM2	up
SLAMF9	down
SLC15A3	up
SLC16A13	up
SLC16A5	up
SLC1A2	up
SLC25A19	down
SLC29A2	up
SLC2A12	up
SLC45A1	up
SLC46A3	up
SLC4A11	up
SLC7A8	up
SLCO4C1	up
SMIM10L2B	up
SMIM25	up
SMO	up
SNAI3	up
SNAI3-AS1	up
SNORA33	down
SPTSSB	up
ST3GAL5	up
ST6GAL1	up
ST8SIA5	up
SV2A	up
SYPL2	up
TAGLN	down
TBC1D8	up
TCEA3	up
TDGP1	down
TEK	down
TENM4	up
TINAGL1	up
TMC4	up
TMC6	up
TMEM108	up
TMEM119	up
TMEM170B	up
TMEM25	up
TMEM37	up
TOB1-AS1	up
TP53INP1	up
TRANK1	up
TREH	up
TRIL	up
TSC22D3	up
TSPY26P	up
TUBA1A	up
UCP2	up
ULK1	up
USP2-AS1	down
VAT1L	up
VLDLR	up
VWF	up
WISP2	down
XPNPEP2	down
YPEL2	up
YPEL3	up
YPEL4	up
ZMIZ1-AS1	up
ZNF204P	up
ZNF385A	up
ZNF423	up
ZNF575	up
ZNF608	up
