gene	stat	UB_T10_T12_vs_UB_T3_T5	UB_T10_T12_vs_UB_T8	UB_T8_vs_UB_T3_T5
KIF14	down	1	0	0
KIF26A	down	1	0	1
KNL1	down	1	0	0
KRT14	up	1	1	0
KRT34	up	1	0	0
KRTAP2-2	up	1	0	0
KRTAP2-4	up	1	0	0
KYNU	up	1	0	0
LGI3	up	1	0	0
LINC01771	down	1	0	0
LINC01775	down	0	0	1
LINC02015	up	1	0	0
LINC02511	up	1	0	0
LIPH	up	1	0	0
LONRF2	down	1	0	0
LSAMP	down	1	0	0
LYPD3	up	1	0	0
LYPD5	up	1	0	0
MAGED4B	up	0	0	1
MAP2	up	1	0	1
MAP3K9	down	1	0	0
MARCH10	up	1	0	0
MDFI	down	1	0	1
MEGF10	down	1	0	0
MFAP5	up	0	1	0
MIR17HG	down	1	0	0
MMP1	up	1	0	0
MMP23A	down	0	0	1
MORF4L2-AS1	down	1	0	0
MRGPRX3	up	1	0	0
MRVI1	up	1	0	0
MYB	down	1	0	1
MYBPH	down	1	0	0
MYH13	down	1	0	0
MYH16	down	1	0	0
MYO1H	down	1	0	0
MYOZ2	up	1	0	0
MYZAP	up	1	0	0
N4BP2L2-IT2	down	1	0	0
NAP1L2	up	1	0	0
NCF2	up	0	0	1
NEURL1B	down	1	0	0
NHS	up	1	0	1
NHSL2	down	1	0	0
NLGN1	up	1	0	0
NME5	up	1	0	1
NOVA1	up	1	0	0
NPR3	up	0	0	1
NTNG1	up	1	0	1
NXPE2	down	1	0	1
OAS1	up	1	0	0
OAS2	up	1	0	0
OASL	up	0	0	1
OCA2	up	1	0	0
OLAH	up	1	0	0
OLFML1	up	1	0	0
OLR1	up	1	0	0
OSTN-AS1	up	1	0	1
PCDHGC4	down	1	0	0
PCOLCE2	up	1	0	0
PELI2	down	1	0	0
PKIB	up	1	0	0
PLA2G3	down	1	0	0
PLCL1	down	1	0	0
PLCXD3	up	1	0	1
PLD5	down	1	0	0
PLEKHG4B	down	1	0	0
PLXDC2	down	1	0	1
POSTN	down	1	0	1
PPP1R36	up	1	0	0
PPP1R3G	up	1	0	0
PPP2R2C	up	1	0	0
PRAC2	up	1	0	0
PRC1	down	1	0	0
PRG4	up	1	0	0
PSCA	up	1	0	0
PSD	up	1	0	0
PTGFRN	down	1	0	0
PTPRE	down	1	0	0
PTPRN	down	1	0	0
PURPL	up	1	0	0
RAB39B	down	1	0	0
RASSF2	down	1	0	1
RBM24	up	1	0	0
RBP1	down	1	0	1
RGMA	down	1	0	0
RHCG	up	1	0	0
RIPK3	up	1	0	0
RN7SL5P	up	0	0	1
RNF144B	up	1	0	0
RNY3P8	up	1	0	0
ROBO2	up	1	0	0
RTP4	up	1	0	0
SAA1	up	1	0	0
SALL1	up	1	0	1
SAMD5	down	1	0	1
SAPCD2	down	1	0	1
SCIN	up	1	0	0
SCN3A	up	1	0	0
SCUBE3	up	1	0	0
SDK2	down	1	0	0
SELE	up	1	0	0
SGCA	up	1	0	0
SIX1	up	1	0	1
SLC16A14	up	1	0	0
SLC38A11	up	1	0	0
SLIT1	up	1	0	0
SLITRK2	up	1	0	0
SLITRK5	up	1	0	1
SLPI	up	1	0	0
SMOC1	up	1	0	0
SOX11	down	1	0	1
ST6GAL2	down	1	0	0
ST8SIA1	up	1	0	0
ST8SIA4	down	1	0	0
STAT4	up	1	0	0
STEAP2	up	1	0	1
STYK1	up	1	0	1
SULF2	down	0	0	1
SULT1E1	down	1	0	1
SYT9	up	0	0	1
TAGLN3	down	1	0	0
TBX21	down	1	0	0
TBX5	up	1	0	0
THEM5	up	1	0	0
TMEFF2	up	1	0	0
TMEM151A	up	1	0	0
TMEM229B	up	1	0	0
TMSB15A	down	1	0	0
TNF	up	1	0	0
TNFRSF9	up	1	0	0
TNS4	up	0	0	1
TRIL	down	1	0	1
TRPM3	up	1	0	0
TSPAN11	up	1	0	0
TTC29	up	1	0	1
USP44	up	1	0	0
VASH2	down	1	0	0
VCAM1	down	0	0	1
VCAM1	up	0	1	0
VSTM4	down	1	0	0
VSTM5	up	1	0	0
VTN	down	0	0	1
WNK3	down	1	0	0
WNT16	up	1	0	1
XKR5	down	1	0	0
ZDHHC11	down	0	0	1
ZFPM2-AS1	up	1	0	0
ZNF492	down	1	0	1
ZNF711	down	1	0	0
ZPLD1	up	1	0	0
ZSWIM5	up	1	0	1
ZSWIM5P3	down	1	0	1
